engine_id,actual_RUL,predicted_RUL,error,health_score,risk_level,maintenance_action
52,29,36.572796,7.572795867919922,52.1,MEDIUM,Schedule inspection
53,26,36.837914,10.837913513183594,52.45,MEDIUM,Schedule inspection
54,97,127.58045,30.58045196533203,100.0,LOW,Continue monitoring
55,137,130.89793,-6.102066040039063,100.0,LOW,Continue monitoring
56,15,14.73922,-0.2607803344726562,22.11,HIGH,Immediate maintenance review
57,103,92.8916,-10.1083984375,87.16,LOW,Continue monitoring
58,37,43.125862,6.125862121582031,60.83,MEDIUM,Schedule inspection
59,114,141.30775,27.30775451660156,100.0,LOW,Continue monitoring
60,100,88.91921,-11.080787658691406,85.57,LOW,Continue monitoring
61,21,39.481335,18.481334686279297,55.98,MEDIUM,Schedule inspection
62,54,56.613922,2.613922119140625,72.65,LOW,Continue monitoring
63,72,64.45924,-7.5407562255859375,75.78,LOW,Continue monitoring
64,28,37.365856,9.365856170654297,53.15,MEDIUM,Schedule inspection
65,128,192.83943,64.83943176269531,100.0,LOW,Continue monitoring
66,14,13.567271,-0.4327287673950195,20.35,HIGH,Immediate maintenance review
67,77,138.28955,61.28955078125,100.0,LOW,Continue monitoring
68,8,11.712087,3.7120866775512695,17.57,HIGH,Immediate maintenance review
69,121,156.54297,35.54296875,100.0,LOW,Continue monitoring
70,94,90.070175,-3.9298248291015625,86.03,LOW,Continue monitoring
71,118,157.49586,39.49586486816406,100.0,LOW,Continue monitoring
72,50,77.05582,27.055816650390625,80.82,LOW,Continue monitoring
73,131,125.56832,-5.431678771972656,100.0,LOW,Continue monitoring
74,126,80.50285,-45.49714660644531,82.2,LOW,Continue monitoring
75,113,123.61905,10.619049072265623,99.45,LOW,Continue monitoring
76,10,9.154733,-0.8452672958374023,13.73,HIGH,Immediate maintenance review
77,34,48.0829,14.082901000976562,67.44,MEDIUM,Schedule inspection
78,107,185.97758,78.97758483886719,100.0,LOW,Continue monitoring
79,63,99.5193,36.51930236816406,89.81,LOW,Continue monitoring
80,90,70.44579,-19.55420684814453,78.18,LOW,Continue monitoring
81,8,7.149081,-0.8509187698364258,10.72,HIGH,Immediate maintenance review
82,9,13.307988,4.307988166809082,19.96,HIGH,Immediate maintenance review
83,137,128.25009,-8.749908447265625,100.0,LOW,Continue monitoring
84,58,68.150444,10.15044403076172,77.26,LOW,Continue monitoring
85,118,166.55118,48.551177978515625,100.0,LOW,Continue monitoring
86,89,103.8039,14.80390167236328,91.52,LOW,Continue monitoring
87,116,168.76596,52.765960693359375,100.0,LOW,Continue monitoring
88,115,138.79112,23.79112243652344,100.0,LOW,Continue monitoring
89,136,103.29996,-32.700042724609375,91.32,LOW,Continue monitoring
90,28,21.408321,-6.591678619384766,31.88,MEDIUM,Schedule inspection
91,38,27.51777,-10.482229232788086,40.02,MEDIUM,Schedule inspection
92,20,11.42847,-8.57153034210205,17.14,HIGH,Immediate maintenance review
93,85,42.99675,-42.00325012207031,60.66,MEDIUM,Schedule inspection
94,55,59.918453,4.918453216552734,73.97,LOW,Continue monitoring
95,128,114.99583,-13.004173278808594,96.0,LOW,Continue monitoring
96,137,139.41585,2.4158477783203125,100.0,LOW,Continue monitoring
97,82,85.005295,3.0052947998046875,84.0,LOW,Continue monitoring
98,59,81.39196,22.39196014404297,82.56,LOW,Continue monitoring
99,117,136.17326,19.173263549804688,100.0,LOW,Continue monitoring
100,20,15.818972,-4.181028366088867,23.73,HIGH,Immediate maintenance review
