dataset,engine_id,predicted_RUL,rank,feature,shap_value,absolute_impact,effect
FD001,4,88.4358,9,sensor_2,-3.6452,3.6452,decreased predicted RUL
FD001,4,88.4358,10,sensor_13,3.6149,3.6149,increased predicted RUL
FD001,5,107.2061,1,cycle,-13.4418,13.4418,decreased predicted RUL
FD001,5,107.2061,2,sensor_11,-12.2067,12.2067,decreased predicted RUL
FD001,5,107.2061,3,sensor_4,-10.6868,10.6868,decreased predicted RUL
FD001,5,107.2061,4,sensor_15,10.2868,10.2868,increased predicted RUL
FD001,5,107.2061,5,sensor_6,-6.377,6.377,decreased predicted RUL
FD001,5,107.2061,6,sensor_12,5.6505,5.6505,increased predicted RUL
FD001,5,107.2061,7,sensor_11_rolling_mean,-4.7587,4.7587,decreased predicted RUL
FD001,5,107.2061,8,sensor_15_rolling_mean,4.5099,4.5099,increased predicted RUL
FD001,5,107.2061,9,sensor_21,4.1949,4.1949,increased predicted RUL
FD001,5,107.2061,10,sensor_13,-3.9904,3.9904,decreased predicted RUL
FD001,6,102.0612,1,cycle,-18.9559,18.9559,decreased predicted RUL
FD001,6,102.0612,2,sensor_11,-11.9139,11.9139,decreased predicted RUL
FD001,6,102.0612,3,sensor_15,10.7388,10.7388,increased predicted RUL
FD001,6,102.0612,4,sensor_12,6.6131,6.6131,increased predicted RUL
FD001,6,102.0612,5,sensor_4,-5.6513,5.6513,decreased predicted RUL
FD001,6,102.0612,6,sensor_6,-5.0451,5.0451,decreased predicted RUL
FD001,6,102.0612,7,sensor_11_rolling_mean,-4.8679,4.8679,decreased predicted RUL
FD001,6,102.0612,8,sensor_2,-4.048,4.048,decreased predicted RUL
FD001,6,102.0612,9,sensor_21,3.3476,3.3476,increased predicted RUL
FD001,6,102.0612,10,sensor_15_rolling_mean,3.2881,3.2881,increased predicted RUL
FD001,7,114.0345,1,cycle,-28.134,28.134,decreased predicted RUL
FD001,7,114.0345,2,sensor_15,20.5468,20.5468,increased predicted RUL
FD001,7,114.0345,3,sensor_4,-9.1647,9.1647,decreased predicted RUL
FD001,7,114.0345,4,sensor_13,8.7277,8.7277,increased predicted RUL
FD001,7,114.0345,5,sensor_15_rolling_mean,6.8843,6.8843,increased predicted RUL
FD001,7,114.0345,6,sensor_11_rolling_mean,-6.3429,6.3429,decreased predicted RUL
FD001,7,114.0345,7,sensor_9,-6.0367,6.0367,decreased predicted RUL
FD001,7,114.0345,8,sensor_12,4.8141,4.8141,increased predicted RUL
FD001,7,114.0345,9,sensor_11,-4.0128,4.0128,decreased predicted RUL
FD001,7,114.0345,10,sensor_6,-3.8687,3.8687,decreased predicted RUL
FD001,8,85.9887,1,cycle,-35.0785,35.0785,decreased predicted RUL
FD001,8,85.9887,2,sensor_11,-17.1633,17.1633,decreased predicted RUL
FD001,8,85.9887,3,sensor_4,-10.4653,10.4653,decreased predicted RUL
FD001,8,85.9887,4,sensor_15,9.2392,9.2392,increased predicted RUL
FD001,8,85.9887,5,sensor_11_rolling_mean,-5.2171,5.2171,decreased predicted RUL
FD001,8,85.9887,6,sensor_6_rolling_std,4.1219,4.1219,increased predicted RUL
FD001,8,85.9887,7,sensor_9,4.0143,4.0143,increased predicted RUL
FD001,8,85.9887,8,sensor_12,3.6692,3.6692,increased predicted RUL
FD001,8,85.9887,9,sensor_7,3.6125,3.6125,increased predicted RUL
FD001,8,85.9887,10,sensor_2,-3.399,3.399,decreased predicted RUL
FD001,9,142.4903,1,cycle,33.4787,33.4787,increased predicted RUL
FD001,9,142.4903,2,sensor_11,-13.3667,13.3667,decreased predicted RUL
FD001,9,142.4903,3,sensor_6,-11.7598,11.7598,decreased predicted RUL
FD001,9,142.4903,4,sensor_15,8.7218,8.7218,increased predicted RUL
FD001,9,142.4903,5,sensor_4,-7.2515,7.2515,decreased predicted RUL
FD001,9,142.4903,6,sensor_12,5.7332,5.7332,increased predicted RUL
FD001,9,142.4903,7,sensor_11_rolling_mean,-5.344,5.344,decreased predicted RUL
FD001,9,142.4903,8,sensor_15_rolling_mean,4.0029,4.0029,increased predicted RUL
FD001,9,142.4903,9,sensor_7,3.7372,3.7372,increased predicted RUL
FD001,9,142.4903,10,sensor_6_rolling_std,3.372,3.372,increased predicted RUL
FD001,10,102.0952,1,cycle,-24.184,24.184,decreased predicted RUL
FD001,10,102.0952,2,sensor_15,18.0228,18.0228,increased predicted RUL
FD001,10,102.0952,3,sensor_11,-15.7234,15.7234,decreased predicted RUL
FD001,10,102.0952,4,sensor_6_rolling_std,-11.1101,11.1101,decreased predicted RUL
FD001,10,102.0952,5,sensor_13,8.9035,8.9035,increased predicted RUL
FD001,10,102.0952,6,sensor_11_rolling_mean,-5.5243,5.5243,decreased predicted RUL
FD001,10,102.0952,7,sensor_15_rolling_mean,5.0686,5.0686,increased predicted RUL
FD001,10,102.0952,8,sensor_12,4.1685,4.1685,increased predicted RUL
FD001,10,102.0952,9,sensor_2,-3.2469,3.2469,decreased predicted RUL
FD001,10,102.0952,10,sensor_3,-3.0893,3.0893,decreased predicted RUL
FD001,11,84.8659,1,sensor_11,-21.4172,21.4172,decreased predicted RUL
FD001,11,84.8659,2,sensor_6,-10.1811,10.1811,decreased predicted RUL
FD001,11,84.8659,3,sensor_4,-9.2078,9.2078,decreased predicted RUL
FD001,11,84.8659,4,sensor_13,-8.1674,8.1674,decreased predicted RUL
FD001,11,84.8659,5,sensor_15,7.7002,7.7002,increased predicted RUL
FD001,11,84.8659,6,sensor_13_rolling_mean,-5.8687,5.8687,decreased predicted RUL
FD001,11,84.8659,7,sensor_11_rolling_mean,-5.0738,5.0738,decreased predicted RUL
FD001,11,84.8659,8,sensor_12,5.0383,5.0383,increased predicted RUL
FD001,11,84.8659,9,cycle,4.5922,4.5922,increased predicted RUL
FD001,11,84.8659,10,sensor_15_rolling_mean,3.9715,3.9715,increased predicted RUL
FD001,12,101.1985,1,cycle,-25.1307,25.1307,decreased predicted RUL
FD001,12,101.1985,2,sensor_15,15.8878,15.8878,increased predicted RUL
FD001,12,101.1985,3,sensor_13,10.8436,10.8436,increased predicted RUL
FD001,12,101.1985,4,sensor_14,-8.9958,8.9958,decreased predicted RUL
FD001,12,101.1985,5,sensor_4,-7.9118,7.9118,decreased predicted RUL
FD001,12,101.1985,6,sensor_11,-7.4244,7.4244,decreased predicted RUL
FD001,12,101.1985,7,sensor_11_rolling_mean,-7.2704,7.2704,decreased predicted RUL
FD001,12,101.1985,8,sensor_9,-6.4061,6.4061,decreased predicted RUL
FD001,12,101.1985,9,sensor_15_rolling_mean,5.3074,5.3074,increased predicted RUL
FD001,12,101.1985,10,sensor_12,5.2537,5.2537,increased predicted RUL
FD001,13,99.0366,1,cycle,-27.057,27.057,decreased predicted RUL
FD001,13,99.0366,2,sensor_11,-14.9572,14.9572,decreased predicted RUL
FD001,13,99.0366,3,sensor_15,10.9671,10.9671,increased predicted RUL
FD001,13,99.0366,4,sensor_4,-10.4138,10.4138,decreased predicted RUL
FD001,13,99.0366,5,sensor_15_rolling_mean,8.543,8.543,increased predicted RUL
FD001,13,99.0366,6,sensor_11_rolling_mean,-5.0192,5.0192,decreased predicted RUL
FD001,13,99.0366,7,sensor_12,4.2833,4.2833,increased predicted RUL
FD001,13,99.0366,8,sensor_6_rolling_std,3.6272,3.6272,increased predicted RUL
FD001,13,99.0366,9,sensor_13,3.1299,3.1299,increased predicted RUL
FD001,13,99.0366,10,sensor_17,-2.7342,2.7342,decreased predicted RUL
FD001,14,121.2541,1,cycle,38.3103,38.3103,increased predicted RUL
FD001,14,121.2541,2,sensor_11,-15.6876,15.6876,decreased predicted RUL
FD001,14,121.2541,3,sensor_6,-15.6089,15.6089,decreased predicted RUL
FD001,14,121.2541,4,sensor_15,11.2353,11.2353,increased predicted RUL
FD001,14,121.2541,5,sensor_13_rolling_mean,-8.555,8.555,decreased predicted RUL
FD001,14,121.2541,6,sensor_11_rolling_mean,-8.3279,8.3279,decreased predicted RUL
FD001,14,121.2541,7,sensor_4,-6.8864,6.8864,decreased predicted RUL
FD001,14,121.2541,8,sensor_12,3.757,3.757,increased predicted RUL
FD001,14,121.2541,9,sensor_7,3.3404,3.3404,increased predicted RUL
FD001,14,121.2541,10,sensor_15_rolling_mean,3.3194,3.3194,increased predicted RUL
FD001,15,149.5369,1,sensor_15,16.8029,16.8029,increased predicted RUL
FD001,15,149.5369,2,sensor_6,-10.625,10.625,decreased predicted RUL
FD001,15,149.5369,3,sensor_11_rolling_mean,-6.7326,6.7326,decreased predicted RUL
FD001,15,149.5369,4,sensor_12,6.5523,6.5523,increased predicted RUL
FD001,15,149.5369,5,cycle,6.5354,6.5354,increased predicted RUL
FD001,15,149.5369,6,sensor_15_rolling_mean,5.3413,5.3413,increased predicted RUL
FD001,15,149.5369,7,sensor_11,-4.9682,4.9682,decreased predicted RUL
FD001,15,149.5369,8,sensor_4,-4.9188,4.9188,decreased predicted RUL
FD001,15,149.5369,9,sensor_20,4.3981,4.3981,increased predicted RUL
FD001,15,149.5369,10,sensor_7,4.1453,4.1453,increased predicted RUL
FD001,16,123.8342,1,cycle,-24.0068,24.0068,decreased predicted RUL
FD001,16,123.8342,2,sensor_15,18.9505,18.9505,increased predicted RUL
FD001,16,123.8342,3,sensor_13,7.9592,7.9592,increased predicted RUL
FD001,16,123.8342,4,sensor_11,-6.3868,6.3868,decreased predicted RUL
FD001,16,123.8342,5,sensor_6,-5.519,5.519,decreased predicted RUL
FD001,16,123.8342,6,sensor_11_rolling_mean,-5.3068,5.3068,decreased predicted RUL
FD001,16,123.8342,7,sensor_14_rolling_mean,-5.283,5.283,decreased predicted RUL
FD001,16,123.8342,8,sensor_12,5.1269,5.1269,increased predicted RUL
FD001,16,123.8342,9,sensor_15_rolling_mean,5.0448,5.0448,increased predicted RUL
FD001,16,123.8342,10,sensor_7,4.5919,4.5919,increased predicted RUL
FD001,17,51.3436,1,cycle,-35.0429,35.0429,decreased predicted RUL
FD001,17,51.3436,2,sensor_11,-17.5652,17.5652,decreased predicted RUL
FD001,17,51.3436,3,sensor_9,-12.745,12.745,decreased predicted RUL
FD001,17,51.3436,4,sensor_14,-11.8647,11.8647,decreased predicted RUL
FD001,17,51.3436,5,sensor_15,10.29,10.29,increased predicted RUL
FD001,17,51.3436,6,sensor_4,-9.4507,9.4507,decreased predicted RUL
FD001,17,51.3436,7,sensor_13,6.3144,6.3144,increased predicted RUL
FD001,17,51.3436,8,sensor_11_rolling_mean,-5.3188,5.3188,decreased predicted RUL
FD001,17,51.3436,9,sensor_6,-4.3743,4.3743,decreased predicted RUL
FD001,17,51.3436,10,sensor_12,3.9386,3.9386,increased predicted RUL
FD001,18,48.6695,1,cycle,-36.918,36.918,decreased predicted RUL
FD001,18,48.6695,2,sensor_11,-16.3035,16.3035,decreased predicted RUL
FD001,18,48.6695,3,sensor_4,-10.6668,10.6668,decreased predicted RUL
FD001,18,48.6695,4,sensor_13,-9.9322,9.9322,decreased predicted RUL
FD001,18,48.6695,5,sensor_6_rolling_std,-9.5509,9.5509,decreased predicted RUL
FD001,18,48.6695,6,sensor_11_rolling_mean,-7.0727,7.0727,decreased predicted RUL
FD001,18,48.6695,7,sensor_15,6.4912,6.4912,increased predicted RUL
FD001,18,48.6695,8,sensor_12,5.0436,5.0436,increased predicted RUL
FD001,18,48.6695,9,sensor_2,-4.0177,4.0177,decreased predicted RUL
FD001,18,48.6695,10,sensor_15_rolling_mean,3.5821,3.5821,increased predicted RUL
FD001,19,115.0888,1,cycle,-29.5841,29.5841,decreased predicted RUL
FD001,19,115.0888,2,sensor_15,17.8355,17.8355,increased predicted RUL
FD001,19,115.0888,3,sensor_13,10.3239,10.3239,increased predicted RUL
FD001,19,115.0888,4,sensor_4,-8.6318,8.6318,decreased predicted RUL
FD001,19,115.0888,5,sensor_15_rolling_mean,5.8415,5.8415,increased predicted RUL
FD001,19,115.0888,6,sensor_11_rolling_mean,-5.3669,5.3669,decreased predicted RUL
FD001,19,115.0888,7,sensor_11,-5.2866,5.2866,decreased predicted RUL
FD001,19,115.0888,8,sensor_12,4.6918,4.6918,increased predicted RUL
FD001,19,115.0888,9,sensor_21,3.8459,3.8459,increased predicted RUL
FD001,19,115.0888,10,sensor_2,-3.7494,3.7494,decreased predicted RUL
FD001,20,13.801,1,cycle,-37.7257,37.7257,decreased predicted RUL
FD001,20,13.801,2,sensor_11,-29.4268,29.4268,decreased predicted RUL
FD001,20,13.801,3,sensor_13,-16.6212,16.6212,decreased predicted RUL
FD001,20,13.801,4,sensor_4,-11.0335,11.0335,decreased predicted RUL
FD001,20,13.801,5,sensor_6_rolling_std,-9.5937,9.5937,decreased predicted RUL
FD001,20,13.801,6,sensor_13_rolling_mean,-6.5722,6.5722,decreased predicted RUL
FD001,20,13.801,7,sensor_11_rolling_mean,-6.2503,6.2503,decreased predicted RUL
FD001,20,13.801,8,sensor_15,5.8345,5.8345,increased predicted RUL
FD001,20,13.801,9,sensor_2,-4.1619,4.1619,decreased predicted RUL
FD001,20,13.801,10,sensor_12,3.5693,3.5693,increased predicted RUL
FD001,21,66.4554,1,cycle,-33.6593,33.6593,decreased predicted RUL
FD001,21,66.4554,2,sensor_11,-13.0625,13.0625,decreased predicted RUL
FD001,21,66.4554,3,sensor_9,-12.9899,12.9899,decreased predicted RUL
FD001,21,66.4554,4,sensor_15,12.8172,12.8172,increased predicted RUL
FD001,21,66.4554,5,sensor_14,-12.5213,12.5213,decreased predicted RUL
FD001,21,66.4554,6,sensor_11_rolling_mean,-6.237,6.237,decreased predicted RUL
FD001,21,66.4554,7,sensor_13,5.9242,5.9242,increased predicted RUL
FD001,21,66.4554,8,sensor_12,5.263,5.263,increased predicted RUL
FD001,21,66.4554,9,sensor_4,-5.1178,5.1178,decreased predicted RUL
FD001,21,66.4554,10,sensor_6,-4.8494,4.8494,decreased predicted RUL
FD001,22,154.6305,1,cycle,43.3097,43.3097,increased predicted RUL
FD001,22,154.6305,2,sensor_6,-13.9202,13.9202,decreased predicted RUL
FD001,22,154.6305,3,sensor_15,13.6758,13.6758,increased predicted RUL
FD001,22,154.6305,4,sensor_4,-7.8872,7.8872,decreased predicted RUL
FD001,22,154.6305,5,sensor_11,-7.3319,7.3319,decreased predicted RUL
FD001,22,154.6305,6,sensor_11_rolling_mean,-6.6834,6.6834,decreased predicted RUL
FD001,22,154.6305,7,sensor_15_rolling_mean,5.4431,5.4431,increased predicted RUL
FD001,22,154.6305,8,sensor_7,4.7571,4.7571,increased predicted RUL
FD001,22,154.6305,9,sensor_12,4.13,4.13,increased predicted RUL
FD001,22,154.6305,10,sensor_20,3.9676,3.9676,increased predicted RUL
FD001,23,138.2477,1,cycle,-27.8621,27.8621,decreased predicted RUL
FD001,23,138.2477,2,sensor_15,25.5219,25.5219,increased predicted RUL
FD001,23,138.2477,3,sensor_13,8.6766,8.6766,increased predicted RUL
FD001,23,138.2477,4,sensor_6_rolling_std,-8.0407,8.0407,decreased predicted RUL
FD001,23,138.2477,5,sensor_15_rolling_mean,6.4566,6.4566,increased predicted RUL
FD001,23,138.2477,6,sensor_4,-6.0409,6.0409,decreased predicted RUL
FD001,23,138.2477,7,sensor_12,4.4262,4.4262,increased predicted RUL
FD001,23,138.2477,8,sensor_11_rolling_mean,-4.3833,4.3833,decreased predicted RUL
FD001,23,138.2477,9,sensor_7,4.228,4.228,increased predicted RUL
FD001,23,138.2477,10,sensor_6_rolling_mean,4.104,4.104,increased predicted RUL
FD001,24,21.2347,1,cycle,-36.9459,36.9459,decreased predicted RUL
FD001,24,21.2347,2,sensor_11,-25.1453,25.1453,decreased predicted RUL
FD001,24,21.2347,3,sensor_9,-18.1366,18.1366,decreased predicted RUL
FD001,24,21.2347,4,sensor_4,-11.8538,11.8538,decreased predicted RUL
FD001,24,21.2347,5,sensor_14,-10.0289,10.0289,decreased predicted RUL
FD001,24,21.2347,6,sensor_15,7.4173,7.4173,increased predicted RUL
FD001,24,21.2347,7,sensor_11_rolling_mean,-5.9664,5.9664,decreased predicted RUL
FD001,24,21.2347,8,sensor_6,-4.814,4.814,decreased predicted RUL
FD001,24,21.2347,9,sensor_13,3.6481,3.6481,increased predicted RUL
FD001,24,21.2347,10,sensor_3,-3.1012,3.1012,decreased predicted RUL
FD001,25,164.2078,1,cycle,37.4657,37.4657,increased predicted RUL
FD001,25,164.2078,2,sensor_6,-13.7335,13.7335,decreased predicted RUL
FD001,25,164.2078,3,sensor_15,12.5351,12.5351,increased predicted RUL
FD001,25,164.2078,4,sensor_11,-6.3676,6.3676,decreased predicted RUL
FD001,25,164.2078,5,sensor_4,-5.8984,5.8984,decreased predicted RUL
FD001,25,164.2078,6,sensor_15_rolling_mean,5.4349,5.4349,increased predicted RUL
FD001,25,164.2078,7,sensor_11_rolling_mean,-5.4125,5.4125,decreased predicted RUL
FD001,25,164.2078,8,sensor_12,4.6447,4.6447,increased predicted RUL
FD001,25,164.2078,9,sensor_13,3.384,3.384,increased predicted RUL
FD001,25,164.2078,10,sensor_6_rolling_std,3.3787,3.3787,increased predicted RUL
FD001,26,117.8643,1,sensor_6,-14.1789,14.1789,decreased predicted RUL
FD001,26,117.8643,2,sensor_15,11.9589,11.9589,increased predicted RUL
FD001,26,117.8643,3,sensor_11,-10.1573,10.1573,decreased predicted RUL
FD001,26,117.8643,4,sensor_13,7.6267,7.6267,increased predicted RUL
FD001,26,117.8643,5,sensor_11_rolling_mean,-7.0114,7.0114,decreased predicted RUL
FD001,26,117.8643,6,sensor_9,-6.7777,6.7777,decreased predicted RUL
FD001,26,117.8643,7,sensor_12,5.8349,5.8349,increased predicted RUL
FD001,26,117.8643,8,cycle,5.3428,5.3428,increased predicted RUL
FD001,26,117.8643,9,sensor_15_rolling_mean,4.8541,4.8541,increased predicted RUL
FD001,26,117.8643,10,sensor_4,-4.4434,4.4434,decreased predicted RUL
FD001,27,102.4632,1,cycle,-31.5253,31.5253,decreased predicted RUL
FD001,27,102.4632,2,sensor_15,12.6601,12.6601,increased predicted RUL
FD001,27,102.4632,3,sensor_11,-11.1894,11.1894,decreased predicted RUL
FD001,27,102.4632,4,sensor_4,-7.4015,7.4015,decreased predicted RUL
FD001,27,102.4632,5,sensor_12,6.7835,6.7835,increased predicted RUL
FD001,27,102.4632,6,sensor_11_rolling_mean,-5.7437,5.7437,decreased predicted RUL
FD001,27,102.4632,7,sensor_15_rolling_mean,4.7878,4.7878,increased predicted RUL
FD001,27,102.4632,8,sensor_6_rolling_std,4.1011,4.1011,increased predicted RUL
FD001,27,102.4632,9,sensor_2,-3.1705,3.1705,decreased predicted RUL
FD001,27,102.4632,10,sensor_20,3.134,3.134,increased predicted RUL
FD001,28,84.8556,1,cycle,-31.604,31.604,decreased predicted RUL
FD001,28,84.8556,2,sensor_11,-17.5508,17.5508,decreased predicted RUL
FD001,28,84.8556,3,sensor_15,12.142,12.142,increased predicted RUL
FD001,28,84.8556,4,sensor_4,-5.4207,5.4207,decreased predicted RUL
FD001,28,84.8556,5,sensor_11_rolling_mean,-5.0429,5.0429,decreased predicted RUL
FD001,28,84.8556,6,sensor_12,4.9476,4.9476,increased predicted RUL
FD001,28,84.8556,7,sensor_2,-4.0375,4.0375,decreased predicted RUL
FD001,28,84.8556,8,sensor_6,-3.5662,3.5662,decreased predicted RUL
FD001,28,84.8556,9,sensor_13,3.4838,3.4838,increased predicted RUL
FD001,28,84.8556,10,sensor_6_rolling_std,3.3859,3.3859,increased predicted RUL
FD001,29,112.065,1,cycle,-26.949,26.949,decreased predicted RUL
FD001,29,112.065,2,sensor_15,20.8802,20.8802,increased predicted RUL
FD001,29,112.065,3,sensor_13,9.0157,9.0157,increased predicted RUL
FD001,29,112.065,4,sensor_15_rolling_mean,7.6327,7.6327,increased predicted RUL
FD001,29,112.065,5,sensor_4,-7.4347,7.4347,decreased predicted RUL
FD001,29,112.065,6,sensor_9,-6.1716,6.1716,decreased predicted RUL
FD001,29,112.065,7,sensor_11_rolling_mean,-5.597,5.597,decreased predicted RUL
FD001,29,112.065,8,sensor_12,4.1592,4.1592,increased predicted RUL
FD001,29,112.065,9,sensor_6_rolling_std,3.2271,3.2271,increased predicted RUL
FD001,29,112.065,10,sensor_14_rolling_mean,-3.1653,3.1653,decreased predicted RUL
FD001,30,79.6552,1,cycle,-32.3074,32.3074,decreased predicted RUL
FD001,30,79.6552,2,sensor_11,-19.3399,19.3399,decreased predicted RUL
FD001,30,79.6552,3,sensor_15,8.7493,8.7493,increased predicted RUL
FD001,30,79.6552,4,sensor_4,-8.1803,8.1803,decreased predicted RUL
FD001,30,79.6552,5,sensor_11_rolling_mean,-6.2091,6.2091,decreased predicted RUL
FD001,30,79.6552,6,sensor_12,4.0226,4.0226,increased predicted RUL
FD001,30,79.6552,7,sensor_6_rolling_std,3.6997,3.6997,increased predicted RUL
FD001,30,79.6552,8,sensor_20,3.243,3.243,increased predicted RUL
FD001,30,79.6552,9,sensor_3,-3.1802,3.1802,decreased predicted RUL
FD001,30,79.6552,10,sensor_21,2.9375,2.9375,increased predicted RUL
FD001,31,20.4721,1,cycle,-37.7933,37.7933,decreased predicted RUL
FD001,31,20.4721,2,sensor_11,-21.7242,21.7242,decreased predicted RUL
FD001,31,20.4721,3,sensor_13,-12.4803,12.4803,decreased predicted RUL
FD001,31,20.4721,4,sensor_4,-11.7883,11.7883,decreased predicted RUL
FD001,31,20.4721,5,sensor_11_rolling_mean,-7.7297,7.7297,decreased predicted RUL
FD001,31,20.4721,6,sensor_9,-6.561,6.561,decreased predicted RUL
FD001,31,20.4721,7,sensor_13_rolling_mean,-5.7546,5.7546,decreased predicted RUL
FD001,31,20.4721,8,sensor_15,5.5722,5.5722,increased predicted RUL
FD001,31,20.4721,9,sensor_14,-4.0467,4.0467,decreased predicted RUL
FD001,31,20.4721,10,sensor_2,-3.7974,3.7974,decreased predicted RUL
FD001,32,45.4229,1,cycle,-35.7477,35.7477,decreased predicted RUL
FD001,32,45.4229,2,sensor_9,-17.5834,17.5834,decreased predicted RUL
FD001,32,45.4229,3,sensor_11,-15.0484,15.0484,decreased predicted RUL
FD001,32,45.4229,4,sensor_14,-12.5808,12.5808,decreased predicted RUL
FD001,32,45.4229,5,sensor_15,10.4886,10.4886,increased predicted RUL
FD001,32,45.4229,6,sensor_4,-9.4312,9.4312,decreased predicted RUL
FD001,32,45.4229,7,sensor_11_rolling_mean,-5.9926,5.9926,decreased predicted RUL
FD001,32,45.4229,8,sensor_12,5.6584,5.6584,increased predicted RUL
FD001,32,45.4229,9,sensor_6,-4.8899,4.8899,decreased predicted RUL
FD001,32,45.4229,10,sensor_13,4.6695,4.6695,increased predicted RUL
FD001,33,132.3863,1,cycle,40.0296,40.0296,increased predicted RUL
FD001,33,132.3863,2,sensor_11,-17.6676,17.6676,decreased predicted RUL
FD001,33,132.3863,3,sensor_6,-12.4109,12.4109,decreased predicted RUL
FD001,33,132.3863,4,sensor_4,-9.5542,9.5542,decreased predicted RUL
FD001,33,132.3863,5,sensor_15,8.1756,8.1756,increased predicted RUL
FD001,33,132.3863,6,sensor_11_rolling_mean,-7.1591,7.1591,decreased predicted RUL
FD001,33,132.3863,7,sensor_12,4.0589,4.0589,increased predicted RUL
FD001,33,132.3863,8,sensor_7,3.9305,3.9305,increased predicted RUL
FD001,33,132.3863,9,sensor_15_rolling_mean,3.4013,3.4013,increased predicted RUL
FD001,33,132.3863,10,sensor_13_rolling_mean,-2.7005,2.7005,decreased predicted RUL
FD001,34,6.6247,1,cycle,-38.9449,38.9449,decreased predicted RUL
FD001,34,6.6247,2,sensor_11,-31.1752,31.1752,decreased predicted RUL
FD001,34,6.6247,3,sensor_13,-26.397,26.397,decreased predicted RUL
FD001,34,6.6247,4,sensor_4,-12.5529,12.5529,decreased predicted RUL
FD001,34,6.6247,5,sensor_11_rolling_mean,-8.7898,8.7898,decreased predicted RUL
FD001,34,6.6247,6,sensor_13_rolling_mean,-5.7617,5.7617,decreased predicted RUL
FD001,34,6.6247,7,sensor_15,4.8229,4.8229,increased predicted RUL
FD001,34,6.6247,8,sensor_2,-4.8106,4.8106,decreased predicted RUL
FD001,34,6.6247,9,sensor_3,-3.4316,3.4316,decreased predicted RUL
FD001,34,6.6247,10,sensor_17,-3.2161,3.2161,decreased predicted RUL
FD001,35,6.7657,1,cycle,-39.32,39.32,decreased predicted RUL
FD001,35,6.7657,2,sensor_11,-29.7824,29.7824,decreased predicted RUL
FD001,35,6.7657,3,sensor_13,-16.8169,16.8169,decreased predicted RUL
FD001,35,6.7657,4,sensor_4,-12.7807,12.7807,decreased predicted RUL
FD001,35,6.7657,5,sensor_11_rolling_mean,-6.9334,6.9334,decreased predicted RUL
