dataset,engine_id,cycle,estimated_rul,health_score,anomaly_score,status,degradation_status
FD001,2,48,159.24,0.0,41.02,NORMAL,CRITICAL
FD001,2,49,158.24,0.0,43.76,NORMAL,CRITICAL
FD001,3,1,185.72,75.45,95.03,NORMAL,NORMAL
FD001,3,2,184.72,74.34,96.3,NORMAL,NORMAL
FD001,3,3,183.72,74.59,92.1,NORMAL,NORMAL
FD001,3,4,182.72,74.7,88.52,NORMAL,NORMAL
FD001,3,5,181.72,81.5,58.13,NORMAL,NORMAL
FD001,3,6,180.72,79.72,62.09,NORMAL,NORMAL
FD001,3,7,179.72,81.37,52.3,NORMAL,NORMAL
FD001,3,8,178.72,83.99,38.64,NORMAL,NORMAL
FD001,3,9,177.72,89.57,13.13,NORMAL,NORMAL
FD001,3,10,176.72,85.73,25.33,NORMAL,NORMAL
FD001,3,11,175.72,80.68,42.35,NORMAL,NORMAL
FD001,3,12,174.72,80.29,40.75,NORMAL,NORMAL
FD001,3,13,173.72,77.39,49.17,NORMAL,NORMAL
FD001,3,14,172.72,86.71,8.71,NORMAL,NORMAL
FD001,3,15,171.72,85.46,10.55,NORMAL,NORMAL
FD001,3,16,170.72,77.92,37.51,NORMAL,NORMAL
FD001,3,17,169.72,69.85,66.63,NORMAL,NORMAL
FD001,3,18,168.72,85.07,2.58,NORMAL,NORMAL
FD001,3,19,167.72,75.14,39.13,NORMAL,NORMAL
FD001,3,20,166.72,73.09,44.16,NORMAL,NORMAL
FD001,3,21,165.72,81.37,7.86,NORMAL,NORMAL
FD001,3,22,164.72,79.88,10.63,NORMAL,NORMAL
FD001,3,23,163.72,72.86,35.55,NORMAL,NORMAL
FD001,3,24,162.72,76.25,18.81,NORMAL,NORMAL
FD001,3,25,161.72,75.14,20.08,NORMAL,NORMAL
FD001,3,26,160.72,75.29,16.32,NORMAL,NORMAL
FD001,3,27,159.72,78.44,0.53,NORMAL,NORMAL
FD001,3,28,158.72,68.43,37.4,NORMAL,NORMAL
FD001,3,29,157.72,69.87,28.44,NORMAL,NORMAL
FD001,3,30,156.72,75.77,1.68,NORMAL,NORMAL
FD001,3,31,155.72,62.44,51.82,NORMAL,NORMAL
FD001,3,32,154.72,67.34,29.06,NORMAL,NORMAL
FD001,3,33,153.72,62.67,44.54,NORMAL,NORMAL
FD001,3,34,152.72,62.42,42.4,NORMAL,NORMAL
FD001,3,35,151.72,66.02,24.83,NORMAL,NORMAL
FD001,3,36,150.72,52.94,73.95,NORMAL,WARNING
FD001,3,37,149.72,46.28,97.41,CRITICAL,CRITICAL
FD001,3,38,148.72,52.11,70.91,NORMAL,WARNING
FD001,3,39,147.72,60.72,33.31,NORMAL,NORMAL
FD001,3,40,146.72,51.02,68.93,NORMAL,WARNING
FD001,3,41,145.72,52.3,60.64,NORMAL,WARNING
FD001,3,42,144.72,41.69,99.9,CRITICAL,CRITICAL
FD001,3,43,143.72,44.27,86.42,WARNING,WARNING
FD001,3,44,142.72,42.07,92.05,WARNING,WARNING
FD001,3,45,141.72,42.52,87.06,WARNING,WARNING
FD001,3,46,140.72,44.67,75.27,NORMAL,WARNING
FD001,3,47,139.72,48.4,57.19,NORMAL,WARNING
FD001,3,48,138.72,54.15,31.03,NORMAL,WARNING
FD001,3,49,137.72,57.69,13.68,NORMAL,WARNING
FD001,3,50,136.72,56.72,14.4,NORMAL,WARNING
FD001,3,51,135.72,38.6,83.68,NORMAL,WARNING
FD001,3,52,134.72,47.68,44.21,NORMAL,WARNING
FD001,3,53,133.72,54.57,13.48,NORMAL,WARNING
FD001,3,54,132.72,51.92,20.91,NORMAL,WARNING
FD001,3,55,131.72,53.14,12.84,NORMAL,WARNING
FD001,3,56,130.72,37.65,71.63,NORMAL,WARNING
FD001,3,57,129.72,43.53,44.94,NORMAL,WARNING
FD001,3,58,128.72,38.98,59.94,NORMAL,WARNING
FD001,3,59,127.72,37.91,61.05,NORMAL,WARNING
FD001,3,60,126.72,33.0,77.54,NORMAL,WARNING
FD001,3,61,125.72,48.65,11.74,NORMAL,WARNING
FD001,3,62,124.72,50.67,0.49,NORMAL,WARNING
FD001,3,63,123.72,43.96,24.14,NORMAL,WARNING
FD001,3,64,122.72,48.65,2.23,NORMAL,WARNING
FD001,3,65,121.72,26.56,87.42,WARNING,WARNING
FD001,3,66,120.72,37.17,41.81,NORMAL,WARNING
FD001,3,67,119.72,44.56,9.05,NORMAL,WARNING
FD001,3,68,118.72,43.22,11.25,NORMAL,WARNING
FD001,3,69,117.72,36.71,34.09,NORMAL,WARNING
FD001,3,70,116.72,26.07,73.51,NORMAL,CRITICAL
FD001,3,71,115.72,27.09,66.25,NORMAL,CRITICAL
FD001,3,72,114.72,23.57,77.16,NORMAL,CRITICAL
FD001,3,73,113.72,17.53,98.13,CRITICAL,CRITICAL
FD001,3,74,112.72,21.81,77.85,NORMAL,CRITICAL
FD001,3,75,111.72,19.96,82.05,NORMAL,CRITICAL
FD001,3,76,110.72,24.32,61.44,NORMAL,CRITICAL
FD001,3,77,109.72,14.66,96.91,WARNING,WARNING
FD001,3,78,108.72,15.84,89.01,WARNING,WARNING
FD001,3,79,107.72,19.51,71.16,NORMAL,CRITICAL
FD001,3,80,106.72,12.62,95.56,WARNING,WARNING
FD001,3,81,105.72,14.68,84.15,NORMAL,CRITICAL
FD001,3,82,104.72,22.03,51.57,NORMAL,CRITICAL
FD001,3,83,103.72,25.55,34.29,NORMAL,CRITICAL
FD001,3,84,102.72,28.44,19.57,NORMAL,CRITICAL
FD001,3,85,101.72,24.58,31.83,NORMAL,CRITICAL
FD001,3,86,100.72,28.54,12.81,NORMAL,CRITICAL
FD001,3,87,99.72,30.67,1.13,NORMAL,WARNING
FD001,3,88,98.72,29.68,1.92,NORMAL,CRITICAL
FD001,3,89,97.72,25.21,16.61,NORMAL,CRITICAL
FD001,3,90,96.72,22.09,25.93,NORMAL,CRITICAL
FD001,3,91,95.72,9.04,74.94,NORMAL,CRITICAL
FD001,3,92,94.72,5.74,84.99,NORMAL,CRITICAL
FD001,3,93,93.72,9.3,67.55,NORMAL,CRITICAL
FD001,3,94,92.72,0.7,98.78,CRITICAL,CRITICAL
FD001,3,95,91.72,5.69,75.67,NORMAL,CRITICAL
FD001,3,96,90.72,1.63,88.73,WARNING,WARNING
FD001,3,97,89.72,4.76,73.03,NORMAL,CRITICAL
FD001,3,98,88.72,17.31,19.65,NORMAL,CRITICAL
FD001,3,99,87.72,16.45,19.93,NORMAL,CRITICAL
FD001,3,100,86.72,0.45,80.73,NORMAL,CRITICAL
FD001,3,101,85.72,10.13,38.85,NORMAL,CRITICAL
FD001,3,102,84.72,5.04,56.03,NORMAL,CRITICAL
FD001,3,103,83.72,0.0,86.43,WARNING,WARNING
FD001,3,104,82.72,17.03,1.7,NORMAL,CRITICAL
FD001,3,105,81.72,0.0,71.2,NORMAL,CRITICAL
FD001,3,106,80.72,10.64,20.95,NORMAL,CRITICAL
FD001,3,107,79.72,11.73,13.42,NORMAL,CRITICAL
FD001,3,108,78.72,0.21,56.29,NORMAL,CRITICAL
FD001,3,109,77.72,0.0,96.58,WARNING,WARNING
FD001,3,110,76.72,0.0,86.31,WARNING,WARNING
FD001,3,111,75.72,0.0,88.74,WARNING,WARNING
FD001,3,112,74.72,0.0,78.01,NORMAL,CRITICAL
FD001,3,113,73.72,0.0,62.14,NORMAL,CRITICAL
FD001,3,114,72.72,0.0,77.81,NORMAL,CRITICAL
FD001,3,115,71.72,0.0,83.65,NORMAL,CRITICAL
FD001,3,116,70.72,0.0,72.43,NORMAL,CRITICAL
FD001,3,117,69.72,0.0,69.87,NORMAL,CRITICAL
FD001,3,118,68.72,0.0,48.8,NORMAL,CRITICAL
FD001,3,119,67.72,3.88,6.69,NORMAL,CRITICAL
FD001,3,120,66.72,0.0,34.81,NORMAL,CRITICAL
FD001,3,121,65.72,0.0,71.39,NORMAL,CRITICAL
FD001,3,122,64.72,0.0,61.2,NORMAL,CRITICAL
FD001,3,123,63.72,0.0,87.6,WARNING,WARNING
FD001,3,124,62.72,0.0,93.9,WARNING,WARNING
FD001,3,125,61.72,0.0,75.25,NORMAL,CRITICAL
FD001,3,126,60.72,0.0,62.49,NORMAL,CRITICAL
FD001,4,1,193.44,75.3,95.03,NORMAL,NORMAL
FD001,4,2,192.44,73.96,96.63,NORMAL,NORMAL
FD001,4,3,191.44,76.49,82.72,NORMAL,NORMAL
FD001,4,4,190.44,81.36,59.46,NORMAL,NORMAL
FD001,4,5,189.44,71.72,94.25,NORMAL,NORMAL
FD001,4,6,188.44,76.46,71.5,NORMAL,NORMAL
FD001,4,7,187.44,86.81,26.34,NORMAL,NORMAL
FD001,4,8,186.44,87.64,19.24,NORMAL,NORMAL
FD001,4,9,185.44,76.38,60.5,NORMAL,NORMAL
FD001,4,10,184.44,84.22,25.37,NORMAL,NORMAL
FD001,4,11,183.44,72.05,70.29,NORMAL,NORMAL
FD001,4,12,182.44,83.93,19.01,NORMAL,NORMAL
FD001,4,13,181.44,79.17,34.26,NORMAL,NORMAL
FD001,4,14,180.44,81.03,23.07,NORMAL,NORMAL
FD001,4,15,179.44,71.4,57.78,NORMAL,NORMAL
FD001,4,16,178.44,72.38,50.09,NORMAL,NORMAL
FD001,4,17,177.44,79.73,16.92,NORMAL,NORMAL
FD001,4,18,176.44,82.46,2.23,NORMAL,NORMAL
FD001,4,19,175.44,60.39,86.74,WARNING,WARNING
FD001,4,20,174.44,72.41,34.89,NORMAL,NORMAL
FD001,4,21,173.44,70.43,39.05,NORMAL,NORMAL
FD001,4,22,172.44,55.94,93.2,WARNING,WARNING
FD001,4,23,171.44,63.71,58.37,NORMAL,NORMAL
FD001,4,24,170.44,57.33,80.13,NORMAL,WARNING
FD001,4,25,169.44,55.87,82.18,NORMAL,WARNING
FD001,4,26,168.44,63.26,48.86,NORMAL,NORMAL
FD001,4,27,167.44,57.61,67.68,NORMAL,WARNING
FD001,4,28,166.44,56.96,66.51,NORMAL,WARNING
FD001,4,29,165.44,70.34,9.2,NORMAL,NORMAL
FD001,4,30,164.44,61.91,39.14,NORMAL,NORMAL
FD001,4,31,163.44,60.31,41.78,NORMAL,NORMAL
FD001,4,32,162.44,57.32,49.98,NORMAL,WARNING
FD001,4,33,161.44,52.55,65.29,NORMAL,WARNING
FD001,4,34,160.44,66.57,5.4,NORMAL,NORMAL
FD001,4,35,159.44,65.52,5.83,NORMAL,NORMAL
FD001,4,36,158.44,52.91,52.5,NORMAL,WARNING
FD001,4,37,157.44,47.09,72.0,NORMAL,WARNING
FD001,4,38,156.44,54.5,38.59,NORMAL,WARNING
FD001,4,39,155.44,58.83,17.53,NORMAL,WARNING
FD001,4,40,154.44,46.86,61.63,NORMAL,WARNING
FD001,4,41,153.44,44.95,65.46,NORMAL,WARNING
FD001,4,42,152.44,38.31,88.26,WARNING,WARNING
FD001,4,43,151.44,58.58,3.4,NORMAL,WARNING
FD001,4,44,150.44,43.63,59.43,NORMAL,WARNING
FD001,4,45,149.44,57.38,0.67,NORMAL,WARNING
FD001,4,46,148.44,31.79,99.24,CRITICAL,CRITICAL
FD001,4,47,147.44,33.23,89.71,WARNING,WARNING
FD001,4,48,146.44,35.64,76.33,NORMAL,WARNING
FD001,4,49,145.44,41.58,48.78,NORMAL,WARNING
FD001,4,50,144.44,28.54,97.15,CRITICAL,CRITICAL
FD001,4,51,143.44,29.9,87.96,WARNING,WARNING
FD001,4,52,142.44,29.8,84.59,NORMAL,CRITICAL
FD001,4,53,141.44,33.45,66.22,NORMAL,WARNING
FD001,4,54,140.44,39.52,38.13,NORMAL,WARNING
FD001,4,55,139.44,30.09,72.1,NORMAL,WARNING
FD001,4,56,138.44,25.93,84.96,NORMAL,CRITICAL
FD001,4,57,137.44,37.44,35.17,NORMAL,WARNING
FD001,4,58,136.44,42.84,9.79,NORMAL,WARNING
FD001,4,59,135.44,20.93,93.66,WARNING,WARNING
FD001,4,60,134.44,31.4,48.0,NORMAL,WARNING
FD001,4,61,133.44,40.44,8.05,NORMAL,WARNING
FD001,4,62,132.44,31.79,38.87,NORMAL,WARNING
FD001,4,63,131.44,36.84,14.9,NORMAL,WARNING
FD001,4,64,130.44,39.4,0.9,NORMAL,WARNING
FD001,4,65,129.44,24.14,58.15,NORMAL,CRITICAL
FD001,4,66,128.44,25.93,47.21,NORMAL,CRITICAL
FD001,4,67,127.44,23.48,53.25,NORMAL,CRITICAL
FD001,4,68,126.44,27.77,32.31,NORMAL,CRITICAL
FD001,4,69,125.44,33.57,5.36,NORMAL,WARNING
FD001,4,70,124.44,32.82,4.57,NORMAL,WARNING
FD001,4,71,123.44,30.03,11.96,NORMAL,WARNING
FD001,4,72,122.44,26.08,23.97,NORMAL,CRITICAL
FD001,4,73,121.44,19.44,46.78,NORMAL,CRITICAL
FD001,4,74,120.44,27.89,9.18,NORMAL,CRITICAL
FD001,4,75,119.44,15.43,55.28,NORMAL,CRITICAL
FD001,4,76,118.44,7.05,85.0,WARNING,WARNING
FD001,4,77,117.44,7.96,77.59,NORMAL,CRITICAL
FD001,4,78,116.44,20.71,22.83,NORMAL,CRITICAL
FD001,4,79,115.44,11.16,57.25,NORMAL,CRITICAL
FD001,4,80,114.44,13.54,43.97,NORMAL,CRITICAL
FD001,4,81,113.44,12.36,44.9,NORMAL,CRITICAL
FD001,4,82,112.44,15.45,28.78,NORMAL,CRITICAL
FD001,4,83,111.44,19.02,10.73,NORMAL,CRITICAL
FD001,4,84,110.44,8.8,47.82,NORMAL,CRITICAL
FD001,4,85,109.44,2.73,68.32,NORMAL,CRITICAL
FD001,4,86,108.44,18.79,0.3,NORMAL,CRITICAL
FD001,4,87,107.44,17.83,0.37,NORMAL,CRITICAL
FD001,4,88,106.44,0.36,66.47,NORMAL,CRITICAL
FD001,4,89,105.44,3.55,49.94,NORMAL,CRITICAL
FD001,4,90,104.44,2.68,49.66,NORMAL,CRITICAL
FD001,4,91,103.44,7.88,25.08,NORMAL,CRITICAL
FD001,4,92,102.44,4.99,32.87,NORMAL,CRITICAL
FD001,4,93,101.44,0.0,65.53,NORMAL,CRITICAL
FD001,4,94,100.44,2.05,37.08,NORMAL,CRITICAL
FD001,4,95,99.44,0.0,47.67,NORMAL,CRITICAL
FD001,4,96,98.44,3.09,25.38,NORMAL,CRITICAL
FD001,4,97,97.44,0.0,37.76,NORMAL,CRITICAL
FD001,4,98,96.44,2.59,19.82,NORMAL,CRITICAL
FD001,4,99,95.44,0.0,75.38,NORMAL,CRITICAL
FD001,4,100,94.44,5.35,1.24,NORMAL,CRITICAL
FD001,4,101,93.44,2.47,8.98,NORMAL,CRITICAL
FD001,4,102,92.44,0.0,21.12,NORMAL,CRITICAL
FD001,4,103,91.44,0.0,52.18,NORMAL,CRITICAL
FD001,4,104,90.44,0.0,49.37,NORMAL,CRITICAL
FD001,4,105,89.44,0.0,5.89,NORMAL,CRITICAL
FD001,4,106,88.44,0.0,5.11,NORMAL,CRITICAL
FD001,5,1,204.21,75.22,95.03,NORMAL,NORMAL
FD001,5,2,203.21,73.96,95.99,NORMAL,NORMAL
FD001,5,3,202.21,78.48,73.82,NORMAL,NORMAL
FD001,5,4,201.21,76.41,78.04,NORMAL,NORMAL
FD001,5,5,200.21,81.25,54.6,NORMAL,NORMAL
FD001,5,6,199.21,84.09,39.14,NORMAL,NORMAL
FD001,5,7,198.21,68.13,98.91,NORMAL,NORMAL
FD001,5,8,197.21,73.34,73.97,NORMAL,NORMAL
FD001,5,9,196.21,74.65,64.66,NORMAL,NORMAL
FD001,5,10,195.21,65.84,95.82,WARNING,WARNING
FD001,5,11,194.21,66.69,88.34,WARNING,WARNING
FD001,5,12,193.21,63.41,97.38,CRITICAL,CRITICAL
FD001,5,13,192.21,62.16,98.3,CRITICAL,CRITICAL
FD001,5,14,191.21,62.64,92.31,WARNING,WARNING
FD001,5,15,190.21,62.09,90.41,WARNING,WARNING
FD001,5,16,189.21,59.51,96.66,WARNING,WARNING
FD001,5,17,188.21,72.38,41.09,NORMAL,NORMAL
FD001,5,18,187.21,60.23,85.61,WARNING,WARNING
FD001,5,19,186.21,57.16,93.81,WARNING,WARNING
FD001,5,20,185.21,64.41,60.71,NORMAL,NORMAL
FD001,5,21,184.21,57.34,84.93,NORMAL,WARNING
FD001,5,22,183.21,69.45,32.41,NORMAL,NORMAL
FD001,5,23,182.21,51.88,98.61,CRITICAL,CRITICAL
FD001,5,24,181.21,52.46,92.19,WARNING,WARNING
FD001,5,25,180.21,57.65,67.34,NORMAL,WARNING
FD001,5,26,179.21,50.01,93.82,WARNING,WARNING
FD001,5,27,178.21,50.52,87.72,WARNING,WARNING
FD001,5,28,177.21,53.42,72.05,NORMAL,WARNING
FD001,5,29,176.21,46.18,96.9,WARNING,WARNING
FD001,5,30,175.21,44.7,98.76,CRITICAL,CRITICAL
FD001,5,31,174.21,46.47,87.58,WARNING,WARNING
FD001,5,32,173.21,44.94,89.64,WARNING,WARNING
FD001,5,33,172.21,48.87,69.83,NORMAL,WARNING
FD001,5,34,171.21,42.46,91.38,WARNING,WARNING
FD001,5,35,170.21,42.41,87.5,WARNING,WARNING
FD001,5,36,169.21,41.58,86.74,WARNING,WARNING
FD001,5,37,168.21,42.09,80.64,NORMAL,WARNING
FD001,5,38,167.21,50.8,41.68,NORMAL,WARNING
FD001,5,39,166.21,46.41,55.16,NORMAL,WARNING
FD001,5,40,165.21,38.98,80.83,NORMAL,WARNING
FD001,5,41,164.21,34.51,94.61,WARNING,WARNING
FD001,5,42,163.21,33.16,95.95,WARNING,WARNING
FD001,5,43,162.21,36.45,78.7,NORMAL,WARNING
FD001,5,44,161.21,33.52,86.34,WARNING,WARNING
FD001,5,45,160.21,30.02,96.26,WARNING,WARNING
FD001,5,46,159.21,34.69,73.48,NORMAL,WARNING
FD001,5,47,158.21,28.64,93.59,WARNING,WARNING
FD001,5,48,157.21,28.3,90.88,WARNING,WARNING
FD001,5,49,156.21,36.09,55.62,NORMAL,WARNING
FD001,5,50,155.21,27.79,84.75,NORMAL,CRITICAL
FD001,5,51,154.21,25.36,90.39,WARNING,WARNING
FD001,5,52,153.21,22.77,96.67,WARNING,WARNING
FD001,5,53,152.21,21.73,96.74,WARNING,WARNING
FD001,5,54,151.21,24.14,83.02,NORMAL,CRITICAL
FD001,5,55,150.21,24.73,76.6,NORMAL,CRITICAL
FD001,5,56,149.21,27.91,59.8,NORMAL,CRITICAL
FD001,5,57,148.21,37.38,17.82,NORMAL,WARNING
FD001,5,58,147.21,36.78,16.15,NORMAL,WARNING
FD001,5,59,146.21,16.61,92.75,WARNING,WARNING
FD001,5,60,145.21,14.76,96.06,WARNING,WARNING
FD001,5,61,144.21,19.2,74.21,NORMAL,CRITICAL
FD001,5,62,143.21,27.28,37.8,NORMAL,CRITICAL
FD001,5,63,142.21,23.61,48.44,NORMAL,CRITICAL
FD001,5,64,141.21,30.77,15.7,NORMAL,WARNING
FD001,5,65,140.21,9.81,95.46,WARNING,WARNING
FD001,5,66,139.21,17.22,61.74,NORMAL,CRITICAL
FD001,5,67,138.21,10.05,86.32,WARNING,WARNING
FD001,5,68,137.21,6.15,97.85,CRITICAL,CRITICAL
FD001,5,69,136.21,18.6,43.98,NORMAL,CRITICAL
FD001,5,70,135.21,7.37,84.81,NORMAL,CRITICAL
FD001,5,71,134.21,2.8,99.0,CRITICAL,CRITICAL
FD001,5,72,133.21,13.54,51.97,NORMAL,CRITICAL
FD001,5,73,132.21,3.83,86.71,WARNING,WARNING
FD001,5,74,131.21,0.0,98.99,CRITICAL,CRITICAL
FD001,5,75,130.21,0.17,93.2,WARNING,WARNING
FD001,5,76,129.21,0.0,95.33,WARNING,WARNING
FD001,5,77,128.21,0.0,90.76,WARNING,WARNING
FD001,5,78,127.21,0.0,94.04,WARNING,WARNING
FD001,5,79,126.21,9.17,40.88,NORMAL,CRITICAL
FD001,5,80,125.21,8.33,40.13,NORMAL,CRITICAL
FD001,5,81,124.21,13.47,15.51,NORMAL,CRITICAL
FD001,5,82,123.21,0.0,67.78,NORMAL,CRITICAL
FD001,5,83,122.21,12.87,9.74,NORMAL,CRITICAL
FD001,5,84,121.21,14.19,0.38,NORMAL,CRITICAL
FD001,5,85,120.21,0.0,66.3,NORMAL,CRITICAL
FD001,5,86,119.21,0.0,89.73,WARNING,WARNING
FD001,5,87,118.21,0.0,98.24,CRITICAL,CRITICAL
FD001,5,88,117.21,0.0,90.91,WARNING,WARNING
FD001,5,89,116.21,0.0,95.64,WARNING,WARNING
FD001,5,90,115.21,0.0,69.76,NORMAL,CRITICAL
FD001,5,91,114.21,0.0,81.01,NORMAL,CRITICAL
FD001,5,92,113.21,0.0,80.82,NORMAL,CRITICAL
FD001,5,93,112.21,0.0,75.58,NORMAL,CRITICAL
FD001,5,94,111.21,0.0,43.09,NORMAL,CRITICAL
FD001,5,95,110.21,0.0,72.82,NORMAL,CRITICAL
FD001,5,96,109.21,0.0,42.44,NORMAL,CRITICAL
FD001,5,97,108.21,0.0,37.62,NORMAL,CRITICAL
FD001,5,98,107.21,0.0,19.6,NORMAL,CRITICAL
FD001,6,1,206.06,75.29,95.03,NORMAL,NORMAL
FD001,6,2,205.06,74.0,96.38,NORMAL,NORMAL
FD001,6,3,204.06,91.08,24.25,NORMAL,NORMAL
FD001,6,4,203.06,80.44,62.99,NORMAL,NORMAL
FD001,6,5,202.06,85.43,39.21,NORMAL,NORMAL
FD001,6,6,201.06,85.62,34.65,NORMAL,NORMAL
FD001,6,7,200.06,87.35,23.94,NORMAL,NORMAL
FD001,6,8,199.06,85.47,27.63,NORMAL,NORMAL
FD001,6,9,198.06,72.6,75.3,NORMAL,NORMAL
FD001,6,10,197.06,70.64,79.34,NORMAL,NORMAL
FD001,6,11,196.06,73.24,65.12,NORMAL,NORMAL
FD001,6,12,195.06,72.98,62.36,NORMAL,NORMAL
FD001,6,13,194.06,82.88,18.95,NORMAL,NORMAL
FD001,6,14,193.06,84.18,9.94,NORMAL,NORMAL
FD001,6,15,192.06,75.73,39.93,NORMAL,NORMAL
FD001,6,16,191.06,83.76,4.0,NORMAL,NORMAL
FD001,6,17,190.06,77.54,25.06,NORMAL,NORMAL
FD001,6,18,189.06,68.54,57.28,NORMAL,NORMAL
FD001,6,19,188.06,72.36,38.19,NORMAL,NORMAL
FD001,6,20,187.06,77.91,12.16,NORMAL,NORMAL
FD001,6,21,186.06,63.12,67.51,NORMAL,NORMAL
FD001,6,22,185.06,73.41,22.54,NORMAL,NORMAL
FD001,6,23,184.06,64.39,54.82,NORMAL,NORMAL
FD001,6,24,183.06,77.03,0.45,NORMAL,NORMAL
FD001,6,25,182.06,73.79,9.6,NORMAL,NORMAL
FD001,6,26,181.06,69.59,22.61,NORMAL,NORMAL
