unit_id,cycle,dataset,anomaly_score,status,top_abnormal_sensors,sensor_deviation_scores
1,65,FD001,52.7556,NORMAL,"sensor_13, sensor_11, sensor_9","1.83, 1.76, 1.22"
1,66,FD001,65.9687,NORMAL,"sensor_9, sensor_11, sensor_15","2.02, 1.58, 1.40"
1,67,FD001,39.5327,NORMAL,"sensor_12, sensor_14, sensor_15","1.46, 1.37, 1.09"
1,68,FD001,3.8146,NORMAL,"sensor_2, sensor_3, sensor_4","1.08, 0.92, 0.88"
1,69,FD001,24.2693,NORMAL,"sensor_7, sensor_3, sensor_14","1.74, 1.18, 1.02"
1,70,FD001,8.8314,NORMAL,"sensor_21, sensor_13, sensor_8","1.95, 1.10, 0.96"
1,71,FD001,58.4993,NORMAL,"sensor_8, sensor_20, sensor_14","1.52, 1.38, 1.33"
1,72,FD001,25.0885,NORMAL,"sensor_4, sensor_3, sensor_15","1.56, 1.42, 1.15"
1,73,FD001,52.1109,NORMAL,"sensor_4, sensor_20, sensor_3","1.66, 1.47, 1.42"
1,74,FD001,65.9008,NORMAL,"sensor_2, sensor_13, sensor_11","2.48, 2.45, 1.58"
1,75,FD001,75.7404,NORMAL,"sensor_15, sensor_4, sensor_9","2.09, 1.96, 1.65"
1,76,FD001,87.194,WARNING,"sensor_17, sensor_14, sensor_9","1.90, 1.72, 1.49"
1,77,FD001,26.5717,NORMAL,"sensor_17, sensor_21, sensor_7","1.66, 1.65, 1.63"
1,78,FD001,68.717,NORMAL,"sensor_15, sensor_13, sensor_12","1.53, 1.44, 1.31"
1,79,FD001,14.4685,NORMAL,"sensor_17, sensor_21, sensor_14","1.94, 0.93, 0.92"
1,80,FD001,52.5665,NORMAL,"sensor_11, sensor_4, sensor_3","1.85, 1.65, 1.48"
1,81,FD001,30.8032,NORMAL,"sensor_8, sensor_14, sensor_20","1.66, 1.61, 1.48"
1,82,FD001,26.8625,NORMAL,"sensor_21, sensor_8, sensor_11","1.50, 1.37, 1.13"
1,83,FD001,47.0021,NORMAL,"sensor_4, sensor_11, sensor_7","1.44, 1.22, 1.06"
1,84,FD001,7.0331,NORMAL,"sensor_20, sensor_4, sensor_21","1.62, 1.24, 1.23"
1,85,FD001,72.0033,NORMAL,"sensor_12, sensor_8, sensor_9","1.64, 1.62, 1.58"
1,86,FD001,8.8847,NORMAL,"sensor_21, sensor_17, sensor_2","1.57, 1.54, 1.30"
1,87,FD001,29.4169,NORMAL,"sensor_4, sensor_8, sensor_12","1.81, 1.72, 1.32"
1,88,FD001,36.0428,NORMAL,"sensor_15, sensor_3, sensor_7","1.88, 1.65, 1.61"
1,89,FD001,4.5805,NORMAL,"sensor_9, sensor_14, sensor_15","1.50, 1.24, 1.09"
1,90,FD001,86.0792,WARNING,"sensor_7, sensor_21, sensor_4","2.17, 2.14, 1.59"
1,91,FD001,70.5201,NORMAL,"sensor_20, sensor_17, sensor_13","1.79, 1.59, 1.48"
1,92,FD001,54.2,NORMAL,"sensor_2, sensor_8, sensor_4","1.52, 1.45, 1.35"
1,93,FD001,25.355,NORMAL,"sensor_3, sensor_21, sensor_2","1.85, 1.34, 1.27"
1,94,FD001,16.3395,NORMAL,"sensor_8, sensor_20, sensor_9","1.34, 1.22, 1.19"
1,95,FD001,92.3271,WARNING,"sensor_13, sensor_3, sensor_20","1.90, 1.74, 1.70"
1,96,FD001,38.1756,NORMAL,"sensor_4, sensor_7, sensor_14","1.91, 1.01, 0.77"
1,97,FD001,65.9057,NORMAL,"sensor_3, sensor_14, sensor_9","1.75, 1.58, 1.01"
1,98,FD001,86.7481,WARNING,"sensor_12, sensor_7, sensor_14","2.26, 1.76, 1.54"
1,99,FD001,31.1473,NORMAL,"sensor_21, sensor_13, sensor_9","1.29, 1.26, 1.25"
1,100,FD001,46.0424,NORMAL,"sensor_11, sensor_21, sensor_7","2.34, 1.44, 1.30"
1,101,FD001,75.183,NORMAL,"sensor_9, sensor_14, sensor_11","2.18, 2.00, 1.63"
1,102,FD001,35.4951,NORMAL,"sensor_8, sensor_9, sensor_15","1.69, 1.42, 1.14"
1,103,FD001,55.5959,NORMAL,"sensor_14, sensor_20, sensor_9","1.87, 1.63, 1.62"
1,104,FD001,20.7843,NORMAL,"sensor_12, sensor_15, sensor_11","1.72, 1.32, 1.15"
1,105,FD001,7.3627,NORMAL,"sensor_14, sensor_11, sensor_17","1.38, 1.27, 1.22"
1,106,FD001,16.989,NORMAL,"sensor_15, sensor_20, sensor_2","1.63, 1.50, 1.04"
1,107,FD001,47.2444,NORMAL,"sensor_17, sensor_3, sensor_20","2.44, 1.51, 0.94"
1,108,FD001,87.1553,WARNING,"sensor_2, sensor_13, sensor_7","2.22, 2.12, 1.89"
1,109,FD001,43.139,NORMAL,"sensor_15, sensor_13, sensor_4","1.94, 1.36, 1.14"
1,110,FD001,65.8184,NORMAL,"sensor_21, sensor_13, sensor_15","1.60, 1.41, 1.21"
1,111,FD001,29.412,NORMAL,"sensor_21, sensor_13, sensor_11","2.08, 1.60, 1.13"
1,112,FD001,54.137,NORMAL,"sensor_11, sensor_8, sensor_7","1.65, 1.37, 1.20"
1,113,FD001,16.3443,NORMAL,"sensor_13, sensor_7, sensor_9","1.70, 1.48, 1.35"
1,114,FD001,44.5931,NORMAL,"sensor_9, sensor_7, sensor_13","1.53, 1.28, 1.16"
1,115,FD001,8.9671,NORMAL,"sensor_3, sensor_12, sensor_14","1.56, 1.54, 1.09"
1,116,FD001,73.6513,NORMAL,"sensor_3, sensor_14, sensor_13","1.73, 1.52, 1.21"
1,117,FD001,79.2497,NORMAL,"sensor_17, sensor_21, sensor_12","2.11, 1.99, 1.70"
1,118,FD001,8.9041,NORMAL,"sensor_14, sensor_2, sensor_12","1.46, 1.34, 1.14"
1,119,FD001,55.1064,NORMAL,"sensor_9, sensor_3, sensor_14","1.84, 1.65, 1.63"
1,120,FD001,26.0094,NORMAL,"sensor_15, sensor_2, sensor_14","1.46, 1.33, 1.09"
1,121,FD001,83.2485,NORMAL,"sensor_9, sensor_20, sensor_4","2.23, 1.94, 1.65"
1,122,FD001,66.0365,NORMAL,"sensor_2, sensor_8, sensor_12","2.30, 2.26, 1.95"
1,123,FD001,92.9717,WARNING,"sensor_7, sensor_2, sensor_13","2.17, 1.82, 1.60"
1,124,FD001,64.6745,NORMAL,"sensor_7, sensor_15, sensor_9","1.90, 1.36, 1.27"
1,125,FD001,53.2984,NORMAL,"sensor_11, sensor_7, sensor_20","1.32, 1.30, 1.17"
1,126,FD001,76.5499,NORMAL,"sensor_4, sensor_8, sensor_3","1.93, 1.86, 1.47"
1,127,FD001,33.4691,NORMAL,"sensor_15, sensor_4, sensor_11","1.94, 1.41, 1.11"
1,128,FD001,52.0285,NORMAL,"sensor_12, sensor_9, sensor_13","2.03, 1.86, 1.32"
1,129,FD001,35.34,NORMAL,"sensor_12, sensor_15, sensor_2","1.66, 1.57, 1.07"
1,130,FD001,60.7726,NORMAL,"sensor_15, sensor_14, sensor_17","1.81, 1.64, 1.22"
1,131,FD001,39.5909,NORMAL,"sensor_17, sensor_21, sensor_11","1.96, 1.51, 1.44"
1,132,FD001,76.6759,NORMAL,"sensor_20, sensor_3, sensor_8","2.12, 1.88, 1.70"
1,133,FD001,47.5789,NORMAL,"sensor_20, sensor_12, sensor_7","1.33, 1.20, 1.17"
1,134,FD001,8.2546,NORMAL,"sensor_11, sensor_4, sensor_3","1.69, 1.05, 1.03"
1,135,FD001,27.8174,NORMAL,"sensor_11, sensor_12, sensor_17","1.95, 1.62, 0.87"
1,136,FD001,66.4922,NORMAL,"sensor_21, sensor_8, sensor_7","2.15, 1.76, 1.55"
1,137,FD001,29.8144,NORMAL,"sensor_11, sensor_9, sensor_3","1.84, 1.17, 1.11"
1,138,FD001,74.0391,NORMAL,"sensor_13, sensor_20, sensor_21","1.79, 1.50, 1.35"
1,139,FD001,65.547,NORMAL,"sensor_14, sensor_12, sensor_8","1.59, 1.58, 1.57"
1,140,FD001,85.3473,WARNING,"sensor_7, sensor_13, sensor_9","2.05, 2.02, 1.86"
1,141,FD001,81.2709,NORMAL,"sensor_14, sensor_4, sensor_15","2.38, 1.61, 1.30"
1,142,FD001,64.3546,NORMAL,"sensor_12, sensor_3, sensor_17","2.15, 1.30, 1.26"
1,143,FD001,2.7871,NORMAL,"sensor_4, sensor_21, sensor_3","0.95, 0.81, 0.75"
1,144,FD001,18.2056,NORMAL,"sensor_8, sensor_2, sensor_15","1.26, 1.22, 1.04"
1,145,FD001,29.1212,NORMAL,"sensor_17, sensor_21, sensor_20","1.79, 1.48, 1.35"
1,146,FD001,27.1,NORMAL,"sensor_3, sensor_17, sensor_7","1.94, 1.16, 1.08"
1,147,FD001,31.6853,NORMAL,"sensor_11, sensor_9, sensor_2","2.07, 1.74, 1.71"
1,148,FD001,11.1143,NORMAL,"sensor_9, sensor_15, sensor_17","1.40, 1.24, 1.11"
1,149,FD001,22.4807,NORMAL,"sensor_11, sensor_9, sensor_15","1.89, 1.60, 1.55"
1,150,FD001,23.3096,NORMAL,"sensor_13, sensor_12, sensor_15","1.90, 1.71, 1.21"
1,151,FD001,10.8817,NORMAL,"sensor_20, sensor_13, sensor_7","2.24, 1.66, 1.36"
1,152,FD001,71.6737,NORMAL,"sensor_4, sensor_14, sensor_12","2.37, 2.01, 2.01"
1,153,FD001,0.9888,NORMAL,"sensor_21, sensor_20, sensor_3","1.22, 0.83, 0.82"
1,154,FD001,0.4023,NORMAL,"sensor_15, sensor_20, sensor_3","1.33, 1.19, 1.17"
1,155,FD001,1.7643,NORMAL,"sensor_14, sensor_12, sensor_15","1.27, 1.25, 0.89"
1,156,FD001,57.8353,NORMAL,"sensor_8, sensor_4, sensor_3","2.54, 1.67, 1.61"
1,157,FD001,40.9529,NORMAL,"sensor_2, sensor_17, sensor_3","2.48, 1.60, 1.32"
1,158,FD001,16.4849,NORMAL,"sensor_13, sensor_21, sensor_15","1.44, 1.35, 1.20"
1,159,FD001,20.1057,NORMAL,"sensor_13, sensor_7, sensor_11","1.48, 1.31, 1.23"
1,160,FD001,85.6333,WARNING,"sensor_2, sensor_20, sensor_17","1.90, 1.89, 1.73"
1,161,FD001,0.5186,NORMAL,"sensor_21, sensor_12, sensor_11","1.09, 0.99, 0.72"
1,162,FD001,36.5179,NORMAL,"sensor_15, sensor_21, sensor_4","2.10, 1.90, 1.61"
1,163,FD001,48.8343,NORMAL,"sensor_21, sensor_15, sensor_11","1.86, 1.80, 1.60"
1,164,FD001,22.3886,NORMAL,"sensor_13, sensor_7, sensor_3","2.13, 1.32, 1.09"
1,165,FD001,47.0409,NORMAL,"sensor_9, sensor_4, sensor_11","2.05, 1.72, 1.32"
1,166,FD001,44.6997,NORMAL,"sensor_14, sensor_12, sensor_8","2.22, 1.95, 1.33"
1,167,FD001,12.2437,NORMAL,"sensor_8, sensor_13, sensor_21","1.35, 1.24, 1.14"
1,168,FD001,44.0599,NORMAL,"sensor_9, sensor_2, sensor_12","1.86, 1.41, 1.31"
1,169,FD001,10.7702,NORMAL,"sensor_9, sensor_8, sensor_3","1.83, 1.59, 1.21"
1,170,FD001,3.9794,NORMAL,"sensor_17, sensor_13, sensor_7","1.49, 1.31, 1.13"
1,171,FD001,6.9992,NORMAL,"sensor_11, sensor_12, sensor_17","2.06, 1.83, 1.22"
1,172,FD001,57.6269,NORMAL,"sensor_11, sensor_7, sensor_15","1.79, 1.58, 1.39"
1,173,FD001,7.7796,NORMAL,"sensor_4, sensor_15, sensor_17","1.82, 1.70, 1.03"
1,174,FD001,60.6514,NORMAL,"sensor_21, sensor_3, sensor_15","2.05, 1.94, 1.63"
1,175,FD001,23.232,NORMAL,"sensor_3, sensor_2, sensor_7","2.08, 1.67, 1.48"
1,176,FD001,6.3012,NORMAL,"sensor_12, sensor_4, sensor_11","1.58, 0.96, 0.84"
1,177,FD001,43.2504,NORMAL,"sensor_17, sensor_2, sensor_3","1.74, 1.74, 1.48"
1,178,FD001,20.348,NORMAL,"sensor_14, sensor_3, sensor_4","1.78, 1.58, 0.97"
1,179,FD001,71.8676,NORMAL,"sensor_20, sensor_8, sensor_13","1.91, 1.73, 1.60"
1,180,FD001,95.3323,WARNING,"sensor_20, sensor_13, sensor_21","2.07, 1.93, 1.91"
1,181,FD001,73.0454,NORMAL,"sensor_20, sensor_17, sensor_14","2.14, 1.84, 1.55"
1,182,FD001,70.239,NORMAL,"sensor_2, sensor_15, sensor_8","1.78, 1.62, 1.52"
1,183,FD001,35.815,NORMAL,"sensor_7, sensor_8, sensor_4","1.33, 1.26, 1.09"
1,184,FD001,92.0896,WARNING,"sensor_4, sensor_21, sensor_7","1.84, 1.69, 1.63"
1,185,FD001,30.585,NORMAL,"sensor_8, sensor_11, sensor_14","1.98, 1.45, 1.34"
1,186,FD001,57.9371,NORMAL,"sensor_9, sensor_14, sensor_15","1.82, 1.64, 1.46"
1,187,FD001,85.6672,WARNING,"sensor_12, sensor_11, sensor_8","1.67, 1.67, 1.52"
1,188,FD001,52.9058,NORMAL,"sensor_21, sensor_8, sensor_9","1.60, 1.60, 0.95"
1,189,FD001,54.9416,NORMAL,"sensor_13, sensor_7, sensor_2","2.12, 1.44, 1.34"
1,190,FD001,56.609,NORMAL,"sensor_11, sensor_13, sensor_17","2.07, 1.91, 1.74"
1,191,FD001,44.2344,NORMAL,"sensor_17, sensor_12, sensor_2","1.59, 1.03, 1.02"
1,192,FD001,56.7835,NORMAL,"sensor_9, sensor_21, sensor_14","1.69, 1.51, 1.45"
2,1,FD001,95.0317,NORMAL,insufficient_history,
2,2,FD001,96.8639,NORMAL,insufficient_history,
2,3,FD001,97.1742,NORMAL,insufficient_history,
2,4,FD001,99.1712,NORMAL,insufficient_history,
2,5,FD001,98.0466,NORMAL,insufficient_history,
2,6,FD001,94.518,NORMAL,insufficient_history,
2,7,FD001,90.1653,NORMAL,insufficient_history,
2,8,FD001,93.3547,NORMAL,insufficient_history,
2,9,FD001,96.9318,NORMAL,insufficient_history,
2,10,FD001,97.7267,CRITICAL,"sensor_21, sensor_12, sensor_9","2.40, 1.68, 1.45"
2,11,FD001,94.2901,WARNING,"sensor_15, sensor_20, sensor_13","1.71, 1.70, 1.41"
2,12,FD001,94.3968,WARNING,"sensor_9, sensor_12, sensor_8","1.94, 1.38, 1.37"
2,13,FD001,94.0575,WARNING,"sensor_20, sensor_8, sensor_11","2.43, 1.96, 1.52"
2,14,FD001,90.427,WARNING,"sensor_12, sensor_9, sensor_20","1.82, 1.59, 1.47"
2,15,FD001,90.0538,WARNING,"sensor_7, sensor_17, sensor_15","2.17, 1.90, 1.36"
2,16,FD001,62.8811,NORMAL,"sensor_14, sensor_11, sensor_4","1.48, 1.34, 1.32"
2,17,FD001,97.6346,CRITICAL,"sensor_7, sensor_13, sensor_4","2.51, 2.21, 1.63"
2,18,FD001,57.3554,NORMAL,"sensor_12, sensor_3, sensor_14","1.30, 1.26, 1.19"
2,19,FD001,29.6738,NORMAL,"sensor_3, sensor_7, sensor_9","1.69, 1.65, 0.87"
2,20,FD001,27.8658,NORMAL,"sensor_13, sensor_2, sensor_21","1.31, 1.19, 1.11"
2,21,FD001,72.2117,NORMAL,"sensor_20, sensor_21, sensor_11","2.02, 1.47, 1.44"
2,22,FD001,28.8062,NORMAL,"sensor_12, sensor_8, sensor_14","1.83, 1.32, 1.15"
2,23,FD001,93.0493,WARNING,"sensor_21, sensor_17, sensor_4","2.11, 1.66, 1.63"
2,24,FD001,54.5684,NORMAL,"sensor_7, sensor_20, sensor_13","1.72, 1.27, 0.76"
2,25,FD001,31.2345,NORMAL,"sensor_9, sensor_2, sensor_3","1.35, 1.03, 1.02"
2,26,FD001,70.617,NORMAL,"sensor_15, sensor_3, sensor_20","2.08, 1.56, 1.09"
2,27,FD001,69.066,NORMAL,"sensor_9, sensor_11, sensor_8","1.87, 1.72, 1.31"
2,28,FD001,69.9336,NORMAL,"sensor_11, sensor_17, sensor_13","1.74, 1.58, 1.52"
2,29,FD001,20.8715,NORMAL,"sensor_17, sensor_14, sensor_9","1.26, 1.24, 0.89"
2,30,FD001,14.1632,NORMAL,"sensor_3, sensor_15, sensor_2","1.95, 1.57, 1.40"
2,31,FD001,59.5802,NORMAL,"sensor_15, sensor_14, sensor_20","1.82, 1.60, 1.46"
2,32,FD001,24.565,NORMAL,"sensor_9, sensor_2, sensor_17","1.89, 1.76, 1.06"
2,33,FD001,48.3399,NORMAL,"sensor_17, sensor_7, sensor_14","1.49, 1.42, 1.18"
2,34,FD001,55.1161,NORMAL,"sensor_9, sensor_20, sensor_11","1.51, 1.49, 1.43"
2,35,FD001,87.4849,WARNING,"sensor_21, sensor_17, sensor_2","2.29, 2.25, 2.02"
2,36,FD001,10.4261,NORMAL,"sensor_2, sensor_15, sensor_14","1.73, 1.18, 1.18"
2,37,FD001,23.8961,NORMAL,"sensor_8, sensor_15, sensor_12","1.90, 1.26, 1.24"
2,38,FD001,17.2701,NORMAL,"sensor_13, sensor_2, sensor_4","1.62, 1.19, 1.07"
2,39,FD001,27.701,NORMAL,"sensor_12, sensor_9, sensor_13","1.49, 1.38, 1.35"
2,40,FD001,10.271,NORMAL,"sensor_20, sensor_9, sensor_4","1.74, 1.35, 1.30"
2,41,FD001,15.4137,NORMAL,"sensor_21, sensor_2, sensor_8","2.05, 1.39, 1.33"
2,42,FD001,84.7317,NORMAL,"sensor_8, sensor_15, sensor_9","1.99, 1.74, 1.63"
2,43,FD001,32.044,NORMAL,"sensor_11, sensor_12, sensor_4","2.12, 1.26, 1.17"
2,44,FD001,0.5574,NORMAL,"sensor_13, sensor_4, sensor_8","1.65, 1.02, 0.85"
2,45,FD001,10.2758,NORMAL,"sensor_17, sensor_14, sensor_3","1.52, 1.42, 1.21"
2,46,FD001,57.1373,NORMAL,"sensor_3, sensor_12, sensor_17","1.89, 1.28, 1.26"
2,47,FD001,56.672,NORMAL,"sensor_7, sensor_11, sensor_2","2.39, 2.01, 1.52"
2,48,FD001,41.0208,NORMAL,"sensor_20, sensor_13, sensor_3","2.18, 1.43, 1.16"
2,49,FD001,43.7594,NORMAL,"sensor_2, sensor_20, sensor_17","2.33, 1.34, 1.31"
2,50,FD001,6.3109,NORMAL,"sensor_13, sensor_4, sensor_12","1.22, 1.19, 1.12"
2,51,FD001,16.0099,NORMAL,"sensor_11, sensor_21, sensor_7","1.60, 1.59, 1.49"
2,52,FD001,98.7058,CRITICAL,"sensor_6, sensor_2, sensor_4","2.85, 1.77, 1.55"
2,53,FD001,47.385,NORMAL,"sensor_11, sensor_21, sensor_8","1.71, 1.49, 1.14"
2,54,FD001,52.3629,NORMAL,"sensor_4, sensor_14, sensor_9","1.99, 1.35, 1.31"
2,55,FD001,98.5362,CRITICAL,"sensor_6, sensor_4, sensor_9","1.90, 1.89, 1.50"
2,56,FD001,82.3276,NORMAL,"sensor_12, sensor_4, sensor_14","1.61, 1.35, 1.04"
2,57,FD001,94.5277,WARNING,"sensor_7, sensor_13, sensor_12","1.82, 1.75, 1.57"
2,58,FD001,83.4618,NORMAL,"sensor_11, sensor_15, sensor_14","1.88, 1.78, 0.97"
2,59,FD001,74.3881,NORMAL,"sensor_8, sensor_12, sensor_2","2.06, 1.30, 1.21"
2,60,FD001,78.6826,NORMAL,"sensor_17, sensor_12, sensor_14","2.00, 1.44, 1.39"
2,61,FD001,93.3256,WARNING,"sensor_21, sensor_7, sensor_9","1.81, 1.71, 1.13"
2,62,FD001,89.5642,WARNING,"sensor_3, sensor_12, sensor_15","2.51, 1.48, 1.45"
2,63,FD001,89.2589,WARNING,"sensor_3, sensor_9, sensor_20","2.06, 1.74, 1.65"
2,64,FD001,62.3867,NORMAL,"sensor_13, sensor_2, sensor_4","1.87, 1.53, 1.20"
2,65,FD001,94.3289,WARNING,"sensor_6, sensor_20, sensor_11","2.85, 1.67, 1.65"
2,66,FD001,17.5076,NORMAL,"sensor_14, sensor_8, sensor_12","1.06, 1.04, 1.03"
2,67,FD001,89.1377,WARNING,"sensor_11, sensor_8, sensor_17","1.88, 1.88, 1.66"
2,68,FD001,50.3853,NORMAL,"sensor_8, sensor_2, sensor_3","1.61, 1.26, 1.26"
2,69,FD001,36.0235,NORMAL,"sensor_2, sensor_11, sensor_13","1.69, 1.36, 1.17"
2,70,FD001,58.9744,NORMAL,"sensor_3, sensor_14, sensor_2","1.86, 1.52, 0.88"
2,71,FD001,74.9018,NORMAL,"sensor_14, sensor_13, sensor_21","2.09, 1.70, 1.57"
2,72,FD001,57.7141,NORMAL,"sensor_20, sensor_21, sensor_4","1.51, 1.40, 1.11"
2,73,FD001,84.407,NORMAL,"sensor_17, sensor_12, sensor_14","2.06, 1.97, 1.77"
2,74,FD001,97.5765,CRITICAL,"sensor_6, sensor_7, sensor_9","1.90, 1.89, 1.57"
2,75,FD001,99.9467,CRITICAL,"sensor_13, sensor_6, sensor_4","1.90, 1.90, 1.70"
2,76,FD001,96.3211,WARNING,"sensor_15, sensor_20, sensor_13","1.99, 1.59, 1.45"
2,77,FD001,87.8581,WARNING,"sensor_15, sensor_11, sensor_21","1.91, 1.74, 1.59"
2,78,FD001,59.8371,NORMAL,"sensor_21, sensor_9, sensor_17","1.71, 1.12, 0.86"
2,79,FD001,88.2022,WARNING,"sensor_21, sensor_17, sensor_20","1.75, 1.66, 1.58"
2,80,FD001,82.2985,NORMAL,"sensor_12, sensor_2, sensor_3","1.99, 1.57, 0.91"
