dataset,engine_id,actual_RUL,predicted_RUL,error,cycle,health_score,anomaly_score,anomaly_status,risk_level,priority_score,maintenance_priority,maintenance_recommendation,top_abnormal_sensors
FD003,94,10.0,6.8358235,-3.1641764640808105,392,14.26,65.7443,NORMAL,CRITICAL,82.88,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 6.8 cycles.,"sensor_8, sensor_12, sensor_14"
FD002,116,7.0,8.77686,1.776860237121582,207,14.74,67.9328,NORMAL,CRITICAL,82.78,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 8.8 cycles.,"sensor_10, sensor_12, sensor_7"
FD004,65,12.0,16.078531,4.078531265258789,351,16.29,76.9629,NORMAL,CRITICAL,82.75,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 16.1 cycles.,"sensor_16, sensor_2, sensor_17"
FD002,250,23.0,10.6816225,-12.318377494812012,184,15.18,70.1855,NORMAL,CRITICAL,82.73,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 10.7 cycles.,"sensor_14, sensor_13, sensor_19"
FD003,64,28.0,33.18196,5.1819610595703125,195,19.92,98.1068,CRITICAL,CRITICAL,82.65,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 33.2 cycles.,"sensor_4, sensor_12, sensor_14"
FD002,208,8.0,21.604422,13.604421615600586,150,17.76,82.801,NORMAL,HIGH,82.32,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.6 cycles.,"sensor_13, sensor_19, sensor_14"
FD002,58,26.0,16.42255,-9.577449798583984,162,16.71,76.2384,NORMAL,CRITICAL,82.28,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 16.4 cycles.,"sensor_5, sensor_1, sensor_6"
FD004,8,14.0,14.309681,0.3096809387207031,230,16.35,73.3236,NORMAL,CRITICAL,82.17,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 14.3 cycles.,"sensor_14, sensor_16, sensor_10"
FD002,70,17.0,11.35922,-5.640780448913574,156,15.79,69.46,NORMAL,CRITICAL,82.1,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 11.4 cycles.,"sensor_14, sensor_13, sensor_19"
FD002,231,8.0,5.4686213,-2.531378746032715,144,14.71,61.612,NORMAL,CRITICAL,81.91,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 5.5 cycles.,"sensor_1, sensor_2, sensor_12"
FD002,134,9.0,4.632798,-4.367201805114746,247,14.69,60.0327,NORMAL,CRITICAL,81.7,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 4.6 cycles.,"sensor_16, sensor_13, sensor_8"
FD004,69,12.0,18.331116,6.33111572265625,226,17.75,76.4682,NORMAL,CRITICAL,81.42,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 18.3 cycles.,none
FD004,183,15.0,7.294123,-7.70587682723999,190,15.47,62.6051,NORMAL,CRITICAL,81.39,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.3 cycles.,"sensor_13, sensor_16, sensor_18"
FD002,44,6.0,7.6015396,1.6015396118164062,205,15.72,62.3803,NORMAL,CRITICAL,81.15,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.6 cycles.,"sensor_19, sensor_13, sensor_14"
FD002,159,9.0,6.847329,-2.1526708602905273,241,15.82,60.5945,NORMAL,CRITICAL,80.81,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 6.8 cycles.,"sensor_5, sensor_1, sensor_6"
FD001,40,28.0,31.4786,3.478599548339844,188,21.05,91.0475,WARNING,HIGH,80.68,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 31.5 cycles.,"sensor_9, sensor_14, sensor_13"
FD002,43,18.0,28.05282,10.052820205688477,211,20.41,86.5083,WARNING,HIGH,80.58,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 28.1 cycles.,"sensor_5, sensor_6, sensor_1"
FD002,32,11.0,17.089817,6.089817047119141,281,18.64,71.1081,NORMAL,CRITICAL,79.9,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 17.1 cycles.,"sensor_17, sensor_12, sensor_7"
FD002,76,36.0,34.194725,-1.8052749633789065,244,22.51,91.4582,WARNING,HIGH,79.49,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 34.2 cycles.,"sensor_5, sensor_6, sensor_21"
FD002,64,14.0,17.525135,3.525135040283203,282,19.21,70.0422,NORMAL,CRITICAL,79.25,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 17.5 cycles.,"sensor_1, sensor_6, sensor_12"
FD004,62,33.0,34.001842,1.0018424987792969,297,22.67,90.5598,WARNING,HIGH,79.22,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 34.0 cycles.,"sensor_5, sensor_6, sensor_20"
FD001,36,19.0,17.238564,-1.7614364624023438,158,19.34,69.0611,NORMAL,CRITICAL,79.01,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 17.2 cycles.,"sensor_3, sensor_2, sensor_13"
FD001,38,50.0,42.55194,-7.44805908203125,194,24.98,99.4765,CRITICAL,CRITICAL,78.51,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 42.6 cycles.,"sensor_11, sensor_8, sensor_21"
FD003,38,22.0,39.307507,17.307506561279297,201,24.39,95.1456,WARNING,HIGH,78.4,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 39.3 cycles.,"sensor_14, sensor_8, sensor_4"
FD001,49,21.0,25.311499,4.311498641967773,215,21.69,76.9085,NORMAL,HIGH,78.11,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 25.3 cycles.,"sensor_2, sensor_7, sensor_3"
FD003,50,11.0,14.934946,3.934946060180664,161,19.59,63.7419,NORMAL,CRITICAL,78.03,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 14.9 cycles.,"sensor_15, sensor_4, sensor_2"
FD003,71,35.0,33.11719,-1.8828086853027344,409,23.4,86.3997,WARNING,HIGH,78.0,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 33.1 cycles.,"sensor_8, sensor_14, sensor_12"
FD001,81,8.0,4.138952,-3.8610482215881343,240,17.58,49.4644,NORMAL,CRITICAL,77.72,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 4.1 cycles.,"sensor_7, sensor_13, sensor_15"
FD004,31,6.0,14.325687,8.325687408447266,263,20.04,61.0557,NORMAL,CRITICAL,77.26,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 14.3 cycles.,"sensor_14, sensor_10, sensor_15"
FD002,7,6.0,23.365122,17.365121841430664,174,21.93,72.3228,NORMAL,HIGH,77.25,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 23.4 cycles.,"sensor_5, sensor_1, sensor_6"
FD002,91,9.0,16.537865,7.537864685058594,245,20.68,63.2341,NORMAL,CRITICAL,77.02,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 16.5 cycles.,"sensor_19, sensor_13, sensor_14"
FD004,174,10.0,2.365314,-7.63468599319458,370,17.88,44.9852,NORMAL,CRITICAL,76.81,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 2.4 cycles.,"sensor_21, sensor_5, sensor_6"
FD003,59,49.0,39.716644,-9.283355712890623,299,25.67,91.6545,WARNING,HIGH,76.8,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 39.7 cycles.,"sensor_3, sensor_13, sensor_7"
FD002,148,11.0,5.433142,-5.566857814788818,279,18.54,48.7639,NORMAL,CRITICAL,76.79,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 5.4 cycles.,"sensor_5, sensor_6, sensor_21"
FD002,210,8.0,2.817942,-5.182058095932007,184,18.1,45.1478,NORMAL,CRITICAL,76.65,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 2.8 cycles.,"sensor_15, sensor_13, sensor_16"
FD004,70,33.0,40.83404,7.834041595458984,185,26.06,92.5387,WARNING,HIGH,76.6,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 40.8 cycles.,"sensor_7, sensor_12, sensor_6"
FD002,252,12.0,11.186067,-0.8139333724975586,135,19.93,55.3191,NORMAL,CRITICAL,76.53,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 11.2 cycles.,"sensor_13, sensor_16, sensor_10"
FD004,47,34.0,30.772581,-3.227418899536133,375,24.09,79.5197,NORMAL,HIGH,76.42,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 30.8 cycles.,"sensor_14, sensor_4, sensor_15"
FD003,55,55.0,45.702976,-9.29702377319336,525,27.23,98.1149,CRITICAL,CRITICAL,76.39,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 45.7 cycles.,"sensor_8, sensor_7, sensor_13"
FD001,77,34.0,39.562256,5.562255859375,154,25.98,90.3301,WARNING,HIGH,76.35,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 39.6 cycles.,"sensor_17, sensor_20, sensor_8"
FD004,180,32.0,31.852118,-0.1478824615478515,344,24.39,80.6348,NORMAL,HIGH,76.33,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 31.9 cycles.,"sensor_5, sensor_1, sensor_6"
FD004,155,7.0,7.5737395,0.5737395286560059,295,19.36,50.2033,NORMAL,CRITICAL,76.29,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.6 cycles.,"sensor_5, sensor_6, sensor_1"
FD004,248,26.0,35.39065,9.39065170288086,184,25.19,84.8504,NORMAL,HIGH,76.24,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 35.4 cycles.,"sensor_10, sensor_12, sensor_7"
FD004,219,41.0,39.791058,-1.208942413330078,190,26.22,89.9704,WARNING,HIGH,76.09,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 39.8 cycles.,"sensor_12, sensor_7, sensor_6"
FD004,49,24.0,33.065567,9.065567016601562,446,24.85,81.4756,NORMAL,HIGH,76.06,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 33.1 cycles.,"sensor_7, sensor_12, sensor_6"
FD001,92,20.0,23.455198,3.455198287963867,341,22.92,69.2065,NORMAL,HIGH,75.96,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 23.5 cycles.,"sensor_9, sensor_3, sensor_15"
FD001,53,26.0,35.26121,9.261211395263672,195,25.39,83.9465,NORMAL,HIGH,75.95,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 35.3 cycles.,"sensor_3, sensor_12, sensor_7"
FD002,171,36.0,30.995434,-5.004566192626953,258,24.5,78.5859,NORMAL,HIGH,75.94,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 31.0 cycles.,"sensor_5, sensor_6, sensor_20"
FD003,75,45.0,47.342205,2.342205047607422,259,27.94,98.9159,CRITICAL,CRITICAL,75.9,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 47.3 cycles.,"sensor_7, sensor_4, sensor_11"
FD001,18,28.0,48.66954,20.66954040527344,195,28.39,99.9855,CRITICAL,CRITICAL,75.66,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 48.7 cycles.,"sensor_8, sensor_13, sensor_12"
FD004,181,37.0,19.3588,-17.641199111938477,134,22.32,63.2435,NORMAL,CRITICAL,75.62,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 19.4 cycles.,"sensor_10, sensor_7, sensor_12"
FD003,79,18.0,21.680952,3.6809520721435542,166,22.84,66.0113,NORMAL,HIGH,75.56,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.7 cycles.,"sensor_3, sensor_12, sensor_21"
FD003,32,55.0,47.280743,-7.719257354736328,189,28.33,97.5,CRITICAL,CRITICAL,75.36,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 47.3 cycles.,"sensor_12, sensor_11, sensor_8"
FD004,235,24.0,33.170692,9.170692443847656,199,25.41,79.7956,NORMAL,HIGH,75.33,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 33.2 cycles.,"sensor_20, sensor_5, sensor_6"
FD004,116,13.0,19.687971,6.687971115112305,344,22.8,62.272,NORMAL,CRITICAL,75.06,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 19.7 cycles.,"sensor_5, sensor_1, sensor_6"
FD002,99,9.0,15.948559,6.948558807373047,202,22.09,57.3913,NORMAL,CRITICAL,74.98,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 15.9 cycles.,"sensor_10, sensor_20, sensor_5"
FD004,71,15.0,15.8001175,0.8001174926757812,312,22.25,56.5462,NORMAL,CRITICAL,74.72,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 15.8 cycles.,"sensor_13, sensor_16, sensor_18"
FD002,48,13.0,31.610502,18.610502243041992,239,25.58,76.2086,NORMAL,HIGH,74.68,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 31.6 cycles.,"sensor_5, sensor_1, sensor_6"
FD004,113,13.0,15.934982,2.9349822998046875,184,23.04,54.1805,NORMAL,CRITICAL,73.7,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 15.9 cycles.,"sensor_14, sensor_16, sensor_3"
FD002,9,11.0,10.890147,-0.1098527908325195,199,22.06,47.6571,NORMAL,CRITICAL,73.62,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 10.9 cycles.,"sensor_10, sensor_4, sensor_7"
FD002,185,19.0,10.129802,-8.870198249816895,162,21.91,46.6694,NORMAL,CRITICAL,73.6,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 10.1 cycles.,"sensor_14, sensor_16, sensor_4"
FD001,46,47.0,37.2348,-9.765201568603516,256,27.62,80.3306,NORMAL,HIGH,73.51,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 37.2 cycles.,"sensor_4, sensor_9, sensor_14"
FD002,53,52.0,33.093555,-18.906444549560547,148,26.84,74.8935,NORMAL,HIGH,73.41,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 33.1 cycles.,"sensor_12, sensor_7, sensor_6"
FD002,19,22.0,20.952225,-1.0477752685546875,163,24.52,59.0227,NORMAL,HIGH,73.13,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.0 cycles.,"sensor_5, sensor_1, sensor_6"
FD002,245,16.0,7.804591,-8.195408821105957,253,21.9,42.192,NORMAL,CRITICAL,72.97,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.8 cycles.,"sensor_5, sensor_6, sensor_1"
FD003,40,41.0,40.47024,-0.5297584533691406,188,28.79,82.7144,NORMAL,HIGH,72.85,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 40.5 cycles.,"sensor_13, sensor_8, sensor_4"
FD004,102,22.0,15.094121,-6.905879020690918,194,23.59,50.7208,NORMAL,CRITICAL,72.74,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 15.1 cycles.,"sensor_1, sensor_17, sensor_2"
FD002,237,62.0,35.33327,-26.666728973388672,209,28.01,75.3399,NORMAL,HIGH,72.47,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 35.3 cycles.,"sensor_21, sensor_20, sensor_5"
FD001,58,37.0,48.536907,11.536907196044922,147,30.89,91.3964,WARNING,HIGH,72.29,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 48.5 cycles.,"sensor_11, sensor_4, sensor_13"
FD002,193,37.0,36.0164,-0.983600616455078,172,28.31,75.6487,NORMAL,HIGH,72.25,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 36.0 cycles.,"sensor_13, sensor_16, sensor_21"
FD004,151,31.0,38.071434,7.071434020996094,351,28.98,77.4413,NORMAL,HIGH,71.94,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 38.1 cycles.,"sensor_5, sensor_6, sensor_12"
FD002,111,9.0,21.108212,12.108211517333984,200,25.46,56.1748,NORMAL,HIGH,71.92,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.1 cycles.,"sensor_13, sensor_10, sensor_16"
FD001,56,15.0,13.608063,-1.391937255859375,275,23.98,46.5174,NORMAL,CRITICAL,71.8,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 13.6 cycles.,"sensor_2, sensor_20, sensor_14"
FD001,61,21.0,41.604465,20.60446548461914,185,29.83,81.4745,NORMAL,HIGH,71.79,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 41.6 cycles.,"sensor_20, sensor_14, sensor_17"
FD004,42,30.0,21.413935,-8.586065292358398,280,25.74,55.8279,NORMAL,HIGH,71.62,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.4 cycles.,"sensor_5, sensor_6, sensor_12"
FD003,25,58.0,53.853283,-4.146717071533203,193,32.7,95.7039,WARNING,HIGH,71.35,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 53.9 cycles.,"sensor_4, sensor_20, sensor_9"
FD004,32,22.0,27.629963,5.629962921142578,219,27.31,62.6867,NORMAL,HIGH,71.26,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 27.6 cycles.,"sensor_10, sensor_21, sensor_7"
FD002,146,10.0,15.451752,5.451751708984375,263,24.89,47.0823,NORMAL,CRITICAL,71.11,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 15.5 cycles.,"sensor_10, sensor_14, sensor_16"
FD002,90,8.0,4.938211,-3.061789035797119,188,22.79,33.652,NORMAL,CRITICAL,70.99,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 4.9 cycles.,"sensor_16, sensor_10, sensor_14"
FD004,197,36.0,41.55637,5.556369781494141,170,30.59,78.8225,NORMAL,HIGH,70.75,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 41.6 cycles.,"sensor_10, sensor_12, sensor_7"
FD004,82,10.0,19.804176,9.804176330566406,197,26.1,51.4915,NORMAL,CRITICAL,70.69,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 19.8 cycles.,"sensor_5, sensor_6, sensor_21"
FD002,87,21.0,28.347622,7.347621917724609,170,27.96,61.9264,NORMAL,HIGH,70.6,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 28.3 cycles.,"sensor_7, sensor_12, sensor_6"
FD001,52,29.0,33.707363,4.707363128662109,213,29.23,68.1014,NORMAL,HIGH,70.39,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 33.7 cycles.,"sensor_9, sensor_12, sensor_7"
FD003,48,55.0,55.461277,0.4612770080566406,174,33.82,95.1173,WARNING,HIGH,70.32,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 55.5 cycles.,"sensor_8, sensor_14, sensor_12"
FD004,158,6.0,7.717273,1.717273235321045,399,24.06,34.7973,NORMAL,CRITICAL,70.06,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.7 cycles.,"sensor_5, sensor_6, sensor_20"
FD004,202,13.0,11.411658,-1.5883417129516602,241,25.19,38.2308,NORMAL,CRITICAL,69.59,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 11.4 cycles.,"sensor_16, sensor_10, sensor_14"
FD001,3,69.0,60.72492,-8.275081634521484,179,35.48,99.8207,CRITICAL,CRITICAL,69.57,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 60.7 cycles.,"sensor_12, sensor_13, sensor_21"
FD001,42,10.0,18.25323,8.253229141235352,196,26.78,46.2169,NORMAL,CRITICAL,69.36,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 18.3 cycles.,"sensor_7, sensor_21, sensor_8"
FD002,102,8.0,19.382214,11.382213592529297,164,27.36,46.502,NORMAL,CRITICAL,68.91,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 19.4 cycles.,"sensor_21, sensor_20, sensor_5"
FD004,1,22.0,46.03253,24.03253173828125,321,33.05,79.3466,NORMAL,HIGH,68.72,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 46.0 cycles.,"sensor_21, sensor_20, sensor_5"
FD002,139,51.0,60.104652,9.104652404785156,194,36.03,96.7652,WARNING,HIGH,68.65,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 60.1 cycles.,"sensor_10, sensor_7, sensor_12"
